family,page,strategy,seed,corpus_size,block_pct,blocked,accepted_rules,rounds,candidates,rejected,defense_calls,input_tokens,output_tokens,est_cost_usd,rule_eval_time_s,wall_time_s,added_fp_pct,clusters,singleton_pct,mean_cluster_size,median_cluster_size,max_cluster_size
SQLi,search,RG,3,300,100.0,300,1,1,1,0,1,1748,132,0.00091,8.06,12.6,0.0,,,,,
SQLi,search,RG,4,300,100.0,300,3,8,24,21,22,26622,2919,0.01532,40.75,95.3,0.55,,,,,
SQLi,search,RG,5,300,100.0,300,1,1,1,0,1,1782,131,0.00092,9.32,14.6,0.0,,,,,
SQLi,search,RG,6,300,100.0,300,1,1,1,0,1,1761,133,0.00092,9.13,14.0,0.0,,,,,
SQLi,search,RG,7,300,100.0,300,1,1,1,0,1,1808,118,0.00091,9.33,14.7,0.0,,,,,
SQLi,search,RG,8,300,100.0,300,1,1,1,0,1,1848,118,0.00093,9.37,14.1,0.0,,,,,
SQLi,search,RG,9,300,100.0,300,1,1,1,0,1,1791,122,0.00091,8.63,13.6,0.0,,,,,
SQLi,search,RG,10,300,100.0,300,1,1,1,0,1,1768,130,0.00092,7.74,12.3,0.0,,,,,
SQLi,search,CG,1,300,100.0,300,1,1,1,0,1,1765,122,0.0009,9.79,15.8,0.0,15,93.3,20.0,1.0,286
SQLi,search,CG,2,300,99.67,299,1,10,31,30,31,37212,3983,0.02126,65.93,170.9,0.0,7,85.7,42.86,1.0,294
SQLi,search,CG,3,300,100.0,300,1,1,1,0,1,1773,120,0.0009,10.31,17.4,0.0,9,77.8,33.33,1.0,291
SQLi,search,CG,4,300,99.67,299,1,10,31,30,31,37256,4051,0.02138,65.15,171.8,0.0,16,87.5,18.75,1.0,284
SQLi,search,CG,5,300,100.0,300,1,1,1,0,1,1776,120,0.0009,9.98,16.4,0.0,17,88.2,17.65,1.0,283
SQLi,search,CG,6,300,100.0,300,1,1,1,0,1,1806,136,0.00094,9.75,16.8,0.0,10,90.0,30.0,1.0,291
SQLi,search,CG,7,300,100.0,300,1,1,1,0,1,1823,122,0.00092,10.59,16.9,0.0,9,77.8,33.33,1.0,288
SQLi,search,CG,8,300,100.0,300,1,1,1,0,1,1778,122,0.00091,10.28,16.4,0.0,7,71.4,42.86,1.0,293
SQLi,search,CG,9,300,100.0,300,1,1,1,0,1,1768,124,0.00091,10.02,15.6,0.0,10,80.0,30.0,1.0,289
SQLi,search,CG,10,300,100.0,300,1,1,1,0,1,1780,122,0.00091,9.96,16.7,0.0,13,92.3,23.08,1.0,288
SQLi,product,PP,1,300,100.0,300,214,1,560,346,560,621495,78858,0.37477,1028.52,2917.1,0.55,,,,,
SQLi,product,PP,2,300,100.0,300,205,1,561,356,561,623156,79262,0.37608,1063.94,2947.6,0.55,,,,,
SQLi,product,PP,3,300,100.0,300,216,1,532,316,532,585599,74621,0.35363,1067.74,3149.3,0.55,,,,,
SQLi,product,PP,4,300,100.0,300,214,1,563,349,563,624841,79941,0.37784,1060.12,3391.0,0.55,,,,,
SQLi,product,PP,5,300,100.0,300,228,1,525,297,525,577715,74148,0.34972,1151.72,2951.8,0.55,,,,,
SQLi,product,PP,6,300,100.0,300,182,1,730,548,730,1001248,113400,0.58194,941.87,3300.9,0.55,,,,,
SQLi,product,PP,7,300,100.0,300,154,1,719,565,719,985750,112357,0.57407,827.94,3345.0,0.55,,,,,
SQLi,product,PP,8,300,100.0,300,180,1,703,523,703,962160,110997,0.56246,992.92,3506.8,0.55,,,,,
SQLi,product,PP,9,300,100.0,300,177,1,702,525,702,959424,109030,0.55822,985.63,3516.4,0.55,,,,,
SQLi,product,PP,10,300,100.0,300,177,1,714,537,714,977465,110664,0.56805,996.59,3511.7,0.55,,,,,
SQLi,product,RG,1,300,100.0,300,1,1,1,0,1,1765,125,0.00091,8.55,14.4,0.0,,,,,
SQLi,product,RG,2,300,100.0,300,1,1,1,0,1,1711,116,0.00087,8.4,13.2,0.0,,,,,
SQLi,product,RG,3,300,100.0,300,1,1,1,0,1,1740,129,0.0009,8.46,13.7,0.0,,,,,
SQLi,product,RG,4,300,100.0,300,1,1,1,0,1,1708,127,0.00089,8.48,13.5,0.0,,,,,
SQLi,product,RG,5,300,100.0,300,1,1,1,0,1,1714,122,0.00088,8.8,13.9,0.0,,,,,
SQLi,product,RG,6,300,100.0,300,1,1,1,0,1,1753,125,0.0009,8.46,13.4,0.0,,,,,
SQLi,product,RG,7,300,100.0,300,1,1,1,0,1,1717,127,0.00089,8.87,13.8,0.0,,,,,
SQLi,product,RG,8,300,100.0,300,1,1,1,0,1,1695,119,0.00087,8.49,13.6,0.0,,,,,
SQLi,product,RG,9,300,100.0,300,1,1,1,0,1,1729,141,0.00092,8.54,13.5,0.0,,,,,
SQLi,product,RG,10,300,100.0,300,1,1,1,0,1,1732,128,0.0009,8.43,13.6,0.0,,,,,
SQLi,product,CG,1,300,100.0,300,1,1,1,0,1,1717,122,0.00088,10.51,16.5,0.0,16,62.5,18.75,1.0,273
SQLi,product,CG,2,300,100.0,300,1,1,1,0,1,1694,120,0.00087,10.08,16.2,0.0,11,81.8,27.27,1.0,284
SQLi,product,CG,3,300,100.0,300,1,1,1,0,1,1711,122,0.00088,9.91,16.6,0.0,9,88.9,33.33,1.0,292
SQLi,product,CG,4,300,100.0,300,1,1,1,0,1,1713,122,0.00088,9.82,15.6,0.0,10,80.0,30.0,1.0,290
SQLi,product,CG,5,300,100.0,300,1,1,1,0,1,1729,131,0.0009,9.81,20.1,0.0,11,54.5,27.27,1.0,282
SQLi,product,CG,6,300,100.0,300,1,1,1,0,1,1737,116,0.00088,9.67,15.1,0.0,6,66.7,50.0,1.0,293
SQLi,product,CG,7,300,100.0,300,1,1,1,0,1,1730,122,0.00089,9.58,15.9,0.0,11,72.7,27.27,1.0,288
SQLi,product,CG,8,300,100.0,300,1,1,1,0,1,1736,120,0.00089,10.23,16.2,0.0,7,71.4,42.86,1.0,293
SQLi,product,CG,9,300,100.0,300,1,1,1,0,1,1710,120,0.00088,10.04,16.7,0.0,5,80.0,60.0,1.0,296
SQLi,product,CG,10,300,100.0,300,1,1,1,0,1,1729,134,0.00091,9.72,16.3,0.0,7,57.1,42.86,1.0,272
SQLi,filter,PP,1,300,100.0,300,191,1,653,462,653,732778,90172,0.43739,1559.12,4361.7,0.55,,,,,
SQLi,filter,PP,2,300,100.0,300,187,1,673,486,673,756716,92355,0.45045,1570.23,5846.1,0.55,,,,,
SQLi,filter,PP,3,300,100.0,300,195,1,662,467,662,744808,91821,0.44484,1836.75,5819.5,0.55,,,,,
SQLi,filter,PP,4,300,100.0,300,181,1,683,502,683,923778,95907,0.52296,1131.78,3254.8,0.55,,,,,
SQLi,filter,PP,5,300,100.0,300,182,1,694,512,694,940504,97138,0.53162,1208.37,3437.6,0.55,,,,,
SQLi,filter,PP,6,300,100.0,300,196,1,653,457,653,880007,90565,0.49691,1291.86,3454.5,0.55,,,,,
SQLi,filter,PP,7,300,100.0,300,139,1,728,589,728,990588,102393,0.56006,710.62,2593.2,0.55,,,,,
SQLi,filter,PP,8,300,100.0,300,185,1,660,475,660,890648,92220,0.50381,876.02,2733.0,0.55,,,,,
SQLi,filter,PP,9,300,100.0,300,190,1,687,497,687,929869,97529,0.52799,1017.08,3160.8,0.55,,,,,
SQLi,filter,PP,10,300,100.0,300,183,1,679,496,679,920082,96590,0.52258,1024.59,3178.3,0.55,,,,,
SQLi,filter,RG,1,300,100.0,300,1,1,1,0,1,1768,131,0.00092,8.49,14.0,0.0,,,,,
SQLi,filter,RG,2,300,100.0,300,1,1,1,0,1,1766,128,0.00091,8.58,13.6,0.0,,,,,
SQLi,filter,RG,3,300,100.0,300,1,1,1,0,1,1756,127,0.00091,7.9,12.6,0.0,,,,,
SQLi,filter,RG,4,300,100.0,300,1,1,1,0,1,1824,119,0.00092,7.9,12.4,0.0,,,,,
SQLi,filter,RG,5,300,100.0,300,1,1,1,0,1,1812,130,0.00093,8.32,12.9,0.0,,,,,
SQLi,filter,RG,6,300,100.0,300,1,1,1,0,1,1734,126,0.0009,8.64,13.4,0.0,,,,,
SQLi,filter,RG,7,300,100.0,300,1,1,1,0,1,1816,127,0.00093,8.39,13.6,0.0,,,,,
SQLi,filter,RG,8,300,100.0,300,1,1,1,0,1,1710,130,0.00089,8.16,13.3,0.0,,,,,
SQLi,filter,RG,9,300,100.0,300,1,1,1,0,1,1762,123,0.0009,8.22,13.2,0.0,,,,,
SQLi,filter,RG,10,300,100.0,300,1,1,1,0,1,1709,135,0.0009,8.78,14.2,0.0,,,,,
SQLi,filter,CG,1,300,100.0,300,1,1,1,0,1,1696,136,0.0009,9.92,16.6,0.0,5,80.0,60.0,1.0,296
SQLi,filter,CG,2,300,100.0,300,1,1,1,0,1,1759,133,0.00092,9.67,17.1,0.0,7,85.7,42.86,1.0,294
SQLi,filter,CG,3,300,100.0,300,1,1,1,0,1,1779,124,0.00091,9.6,15.8,0.0,6,83.3,50.0,1.0,295
SQLi,filter,CG,4,300,100.0,300,1,1,3,2,3,3610,378,0.00205,10.15,25.8,0.0,8,87.5,37.5,1.0,293
SQLi,filter,CG,5,300,100.0,300,1,1,1,0,1,1775,124,0.00091,9.75,16.6,0.0,5,80.0,60.0,1.0,296
SQLi,filter,CG,6,300,100.0,300,1,1,1,0,1,1719,117,0.00087,9.74,16.6,0.0,8,87.5,37.5,1.0,293
SQLi,filter,CG,7,300,100.0,300,2,1,2,0,2,3478,250,0.00179,12.0,25.3,0.0,7,85.7,42.86,1.0,294
SQLi,filter,CG,8,300,100.0,300,1,1,1,0,1,1730,135,0.00091,7.31,14.7,0.0,5,80.0,60.0,1.0,296
SQLi,filter,CG,9,300,100.0,300,1,1,1,0,1,1745,120,0.00089,8.11,14.7,0.0,5,80.0,60.0,1.0,296
SQLi,filter,CG,10,300,100.0,300,1,1,1,0,1,1752,122,0.0009,8.26,14.1,0.0,7,85.7,42.86,1.0,294
XSS,search,PP,1,300,99.67,299,297,10,340,43,340,718208,63412,0.38874,1436.7,2929.8,0.0,,,,,
XSS,search,PP,2,300,99.33,298,297,10,364,67,364,813186,67672,0.43355,1326.72,2857.9,0.0,,,,,
XSS,search,PP,3,300,100.0,300,292,1,316,24,316,520436,54942,0.29608,1331.87,2484.2,0.0,,,,,
XSS,search,PP,4,300,99.67,299,297,10,339,42,339,731247,65223,0.39686,1503.94,2890.2,0.0,,,,,
XSS,search,PP,5,300,100.0,300,300,1,312,12,312,511679,53756,0.29068,1577.14,2692.8,0.0,,,,,
XSS,search,PP,6,300,99.67,299,297,10,342,45,342,647336,59374,0.35393,1726.3,2957.8,0.0,,,,,
XSS,search,PP,7,300,100.0,300,297,1,312,15,312,512001,53684,0.29069,1793.73,2945.1,0.0,,,,,
XSS,search,PP,8,300,100.0,300,298,1,310,12,310,507868,53316,0.28845,1905.47,3121.3,0.0,,,,,
XSS,search,PP,9,300,100.0,300,297,1,318,21,318,522828,54534,0.29639,1973.29,3277.8,0.0,,,,,
XSS,search,PP,10,300,99.67,299,296,10,347,51,347,653409,60994,0.35895,2223.66,3765.2,0.0,,,,,
XSS,search,RG,1,300,99.67,299,2,10,42,40,32,58117,8449,0.03677,31.59,147.4,0.0,,,,,
XSS,search,RG,2,300,99.33,298,2,10,43,41,30,56538,7813,0.03512,33.07,148.3,0.0,,,,,
XSS,search,RG,3,300,99.33,298,1,10,41,40,30,55334,7744,0.03452,30.33,157.7,0.0,,,,,
XSS,search,RG,4,300,99.67,299,2,10,46,44,30,54739,8114,0.03488,34.29,154.5,0.0,,,,,
XSS,search,RG,5,300,100.0,300,2,1,2,0,2,4117,464,0.00239,8.68,16.8,0.0,,,,,
XSS,search,RG,6,300,99.67,299,1,10,41,40,30,54306,7854,0.03429,30.33,154.4,0.0,,,,,
XSS,search,RG,7,300,99.33,298,1,10,48,47,30,56315,7886,0.03514,31.92,149.4,0.0,,,,,
XSS,search,RG,8,300,100.0,300,1,1,1,0,1,2102,203,0.00117,5.85,10.6,0.0,,,,,
XSS,search,RG,9,300,99.67,299,2,10,46,44,30,54824,7862,0.03451,36.8,144.9,0.0,,,,,
XSS,search,RG,10,300,99.67,299,2,10,34,32,30,54517,7246,0.0334,33.66,144.9,0.0,,,,,
XSS,search,CG,1,300,99.67,299,2,10,30,28,30,53640,6479,0.03182,27.99,255.4,0.0,14,92.9,21.43,1.0,287
XSS,search,CG,2,300,99.33,298,2,10,31,29,30,55144,6227,0.03202,27.62,279.4,0.0,10,80.0,30.0,1.0,289
XSS,search,CG,3,300,99.33,298,1,10,34,33,30,55475,6882,0.0332,25.56,245.1,0.0,19,68.4,15.79,1.0,273
XSS,search,CG,4,300,99.67,299,1,10,30,29,30,53708,6593,0.03203,24.97,208.9,0.0,19,78.9,15.79,1.0,279
XSS,search,CG,5,300,100.0,300,1,1,1,0,1,2093,200,0.00116,4.75,11.5,0.0,10,80.0,30.0,1.0,289
XSS,search,CG,6,300,99.67,299,2,10,31,29,31,56086,6890,0.03346,27.94,252.4,0.0,26,73.1,11.54,1.0,255
XSS,search,CG,7,300,99.33,298,1,10,36,35,30,55283,6959,0.03325,27.52,235.5,0.0,16,75.0,18.75,1.0,275
XSS,search,CG,8,300,100.0,300,1,1,1,0,1,2074,247,0.00122,4.74,13.4,0.0,13,84.6,23.08,1.0,287
XSS,search,CG,9,300,99.67,299,1,10,31,30,30,53736,6419,0.03176,25.98,245.6,0.0,22,86.4,13.64,1.0,273
XSS,search,CG,10,300,99.67,299,1,10,32,31,30,53887,6744,0.03235,26.22,240.7,0.0,20,80.0,15.0,1.0,273
XSS,calc,PP,1,300,100.0,300,294,1,330,36,330,543295,55371,0.30591,2097.22,3495.0,0.0,,,,,
XSS,calc,PP,2,300,100.0,300,293,1,340,47,340,563769,57651,0.31775,2085.45,3481.5,0.0,,,,,
XSS,calc,PP,3,300,100.0,300,293,1,326,33,326,537488,57557,0.30709,2370.37,3731.9,0.0,,,,,
XSS,calc,PP,4,300,100.0,300,290,1,343,53,343,568509,57971,0.32016,2264.46,3556.1,0.0,,,,,
XSS,calc,PP,5,300,100.0,300,289,1,346,57,346,576500,60657,0.32765,2276.1,3482.3,0.6,,,,,
XSS,calc,PP,6,300,100.0,300,288,1,344,56,344,571413,60346,0.32512,2280.26,3390.8,0.6,,,,,
XSS,calc,PP,7,300,100.0,300,286,1,353,67,353,588805,60882,0.33293,1141.28,2069.8,0.0,,,,,
XSS,calc,PP,8,300,100.0,300,285,1,353,68,353,588345,61197,0.33325,1182.08,2103.6,0.0,,,,,
XSS,calc,PP,9,300,100.0,300,292,1,341,49,341,565859,59579,0.32167,1269.44,2117.0,0.0,,,,,
XSS,calc,PP,10,300,100.0,300,287,1,343,56,343,569454,59530,0.32303,1278.61,2150.4,0.6,,,,,
XSS,calc,RG,1,300,100.0,300,2,1,3,1,1,1982,301,0.00127,9.33,15.0,0.0,,,,,
XSS,calc,RG,2,300,100.0,300,2,1,3,1,1,1975,272,0.00123,8.39,13.6,0.0,,,,,
XSS,calc,RG,3,300,100.0,300,1,1,1,0,1,1997,124,0.001,5.35,9.3,0.0,,,,,
XSS,calc,RG,4,300,100.0,300,3,1,3,0,1,1999,388,0.00142,11.07,18.0,0.0,,,,,
XSS,calc,RG,5,300,100.0,300,2,1,3,1,1,1974,283,0.00124,8.23,13.5,0.0,,,,,
XSS,calc,RG,6,300,100.0,300,2,1,3,1,2,3860,450,0.00226,8.56,16.7,0.0,,,,,
XSS,calc,RG,7,300,100.0,300,3,1,3,0,2,3730,395,0.00212,11.11,18.4,0.0,,,,,
XSS,calc,RG,8,300,100.0,300,3,2,5,2,4,7574,800,0.00431,13.34,27.0,0.0,,,,,
XSS,calc,RG,9,300,100.0,300,3,1,4,1,2,4057,426,0.0023,11.54,19.5,0.0,,,,,
XSS,calc,RG,10,300,100.0,300,2,1,3,1,1,2008,258,0.00122,8.13,13.1,0.0,,,,,
XSS,calc,CG,1,300,100.0,300,4,1,8,4,4,7857,910,0.0046,13.51,40.4,0.0,26,65.4,11.54,1.0,179
XSS,calc,CG,2,300,100.0,300,3,1,3,0,1,2016,313,0.00131,10.56,21.0,0.0,30,53.3,10.0,1.0,181
XSS,calc,CG,3,300,100.0,300,2,1,2,0,1,2001,221,0.00115,7.51,15.1,0.0,26,69.2,11.54,1.0,200
XSS,calc,CG,4,300,100.0,300,5,1,6,1,4,7533,844,0.00436,15.73,46.6,0.0,30,70.0,10.0,1.0,204
XSS,calc,CG,5,300,100.0,300,1,1,1,0,1,1972,209,0.00112,5.01,31.5,0.0,21,57.1,14.29,1.0,203
XSS,calc,CG,6,300,100.0,300,1,1,3,2,1,1972,261,0.00121,5.38,17.4,0.0,26,61.5,11.54,1.0,164
XSS,calc,CG,7,300,100.0,300,1,1,3,2,1,1959,267,0.00121,4.75,13.2,0.0,24,50.0,12.5,1.5,208
XSS,calc,CG,8,300,100.0,300,5,1,8,3,4,7641,917,0.00452,16.47,50.2,0.0,23,60.9,13.04,1.0,200
XSS,calc,CG,9,300,100.0,300,1,1,3,2,1,1758,329,0.00123,5.02,14.9,0.0,28,50.0,10.71,1.5,192
XSS,calc,CG,10,300,100.0,300,3,1,10,7,6,10909,1523,0.0068,10.76,56.8,0.0,23,56.5,13.04,1.0,187
