family,context,strategy,eps,seed,rejected_no_coverage,rejected_other
SQLi,login,CG-Static,0.4,8,0,0
SQLi,product,CG-Static,0.4,8,0,0
SQLi,search,CG-Static,0.4,8,0,0
SQLi,filter,CG-Static,0.4,8,0,0
SQLi,login,CG-Static,0.4,6,0,0
SQLi,product,CG-Static,0.4,6,0,0
SQLi,search,CG-Static,0.4,6,0,0
SQLi,filter,CG-Static,0.4,6,0,0
SQLi,login,CG-Static,0.2,5,0,0
SQLi,product,CG-Static,0.2,5,0,0
SQLi,search,CG-Static,0.2,5,0,0
SQLi,filter,CG-Static,0.2,5,0,0
SQLi,login,CG-Static,0.2,2,0,0
SQLi,product,CG-Static,0.2,2,0,0
SQLi,search,CG-Static,0.2,2,0,0
SQLi,filter,CG-Static,0.2,2,0,0
SQLi,login,CG-Static,0.5,3,0,0
SQLi,product,CG-Static,0.5,3,0,0
SQLi,search,CG-Static,0.5,3,0,0
SQLi,filter,CG-Static,0.5,3,0,0
SQLi,login,CG-Static,0.4,5,0,0
SQLi,product,CG-Static,0.4,5,0,0
SQLi,search,CG-Static,0.4,5,0,0
SQLi,filter,CG-Static,0.4,5,0,0
SQLi,login,CG-Static,0.3,5,0,0
SQLi,product,CG-Static,0.3,5,0,0
SQLi,search,CG-Static,0.3,5,0,0
SQLi,filter,CG-Static,0.3,5,0,0
SQLi,login,CG-Static,0.2,7,0,0
SQLi,product,CG-Static,0.2,7,0,0
SQLi,search,CG-Static,0.2,7,0,0
SQLi,filter,CG-Static,0.2,7,0,0
SQLi,login,CG-Static,0.4,9,0,0
SQLi,product,CG-Static,0.4,9,0,0
SQLi,search,CG-Static,0.4,9,0,0
SQLi,filter,CG-Static,0.4,9,0,0
SQLi,login,CG-Static,0.2,1,0,0
SQLi,product,CG-Static,0.2,1,0,0
SQLi,search,CG-Static,0.2,1,0,0
SQLi,filter,CG-Static,0.2,1,0,0
SQLi,login,CG-Static,0.4,1,0,0
SQLi,product,CG-Static,0.4,1,0,0
SQLi,search,CG-Static,0.4,1,0,0
SQLi,filter,CG-Static,0.4,1,0,0
SQLi,login,CG-Static,0.3,2,0,0
SQLi,product,CG-Static,0.3,2,0,0
SQLi,search,CG-Static,0.3,2,0,0
SQLi,filter,CG-Static,0.3,2,0,0
SQLi,login,CG-Static,0.3,4,0,0
SQLi,product,CG-Static,0.3,4,0,0
SQLi,search,CG-Static,0.3,4,0,0
SQLi,filter,CG-Static,0.3,4,0,0
SQLi,login,CG-Static,0.5,2,0,0
SQLi,product,CG-Static,0.5,2,0,0
SQLi,search,CG-Static,0.5,2,0,0
SQLi,filter,CG-Static,0.5,2,0,0
SQLi,login,CG-Static,0.4,2,0,0
SQLi,product,CG-Static,0.4,2,0,0
SQLi,search,CG-Static,0.4,2,0,0
SQLi,filter,CG-Static,0.4,2,0,0
SQLi,login,CG-Static,0.1,5,0,0
SQLi,product,CG-Static,0.1,5,0,0
SQLi,search,CG-Static,0.1,5,0,0
SQLi,filter,CG-Static,0.1,5,0,0
SQLi,login,CG-Static,0.5,6,0,0
SQLi,product,CG-Static,0.5,6,0,0
SQLi,search,CG-Static,0.5,6,0,0
SQLi,filter,CG-Static,0.5,6,0,0
SQLi,login,CG-Static,0.3,1,0,0
SQLi,product,CG-Static,0.3,1,0,0
SQLi,search,CG-Static,0.3,1,0,0
SQLi,filter,CG-Static,0.3,1,0,0
SQLi,login,CG-Static,0.5,7,0,0
SQLi,product,CG-Static,0.5,7,0,0
SQLi,search,CG-Static,0.5,7,0,0
SQLi,filter,CG-Static,0.5,7,0,0
SQLi,login,CG-Static,0.5,4,0,0
SQLi,product,CG-Static,0.5,4,0,0
SQLi,search,CG-Static,0.5,4,0,0
SQLi,filter,CG-Static,0.5,4,0,0
SQLi,login,CG-Static,0.5,8,0,0
SQLi,product,CG-Static,0.5,8,0,0
SQLi,search,CG-Static,0.5,8,0,0
SQLi,filter,CG-Static,0.5,8,0,0
SQLi,login,CG-Static,0.1,1,0,0
SQLi,product,CG-Static,0.1,1,0,0
SQLi,search,CG-Static,0.1,1,0,0
SQLi,filter,CG-Static,0.1,1,0,0
SQLi,login,CG-Static,0.1,4,0,0
SQLi,product,CG-Static,0.1,4,0,0
SQLi,search,CG-Static,0.1,4,0,0
SQLi,filter,CG-Static,0.1,4,0,0
SQLi,login,CG-Static,0.2,4,0,0
SQLi,product,CG-Static,0.2,4,0,0
SQLi,search,CG-Static,0.2,4,0,0
SQLi,filter,CG-Static,0.2,4,0,0
SQLi,login,CG-Static,0.1,10,0,0
SQLi,product,CG-Static,0.1,10,0,0
SQLi,search,CG-Static,0.1,10,0,0
SQLi,filter,CG-Static,0.1,10,0,0
SQLi,login,CG-Static,0.1,2,0,0
SQLi,product,CG-Static,0.1,2,0,0
SQLi,search,CG-Static,0.1,2,0,0
SQLi,filter,CG-Static,0.1,2,0,0
SQLi,login,CG-Static,0.2,8,0,0
SQLi,product,CG-Static,0.2,8,0,0
SQLi,search,CG-Static,0.2,8,0,0
SQLi,filter,CG-Static,0.2,8,0,0
SQLi,login,CG-Static,0.5,9,0,0
SQLi,product,CG-Static,0.5,9,0,0
SQLi,search,CG-Static,0.5,9,0,0
SQLi,filter,CG-Static,0.5,9,0,0
SQLi,login,CG-Static,0.3,7,0,0
SQLi,product,CG-Static,0.3,7,0,0
SQLi,search,CG-Static,0.3,7,0,0
SQLi,filter,CG-Static,0.3,7,0,0
SQLi,login,CG-Static,0.5,5,0,0
SQLi,product,CG-Static,0.5,5,0,0
SQLi,search,CG-Static,0.5,5,0,0
SQLi,filter,CG-Static,0.5,5,0,0
XSS,calc,CG-Static,0.5,9,0,0
XSS,search,CG-Static,0.5,9,0,0
XSS,calc,CG-Static,0.1,1,0,0
XSS,search,CG-Static,0.1,1,0,0
XSS,calc,CG-Static,0.2,7,0,0
XSS,search,CG-Static,0.2,7,0,0
XSS,calc,CG-Static,0.2,2,0,0
XSS,search,CG-Static,0.2,2,0,0
XSS,calc,CG-Static,0.5,6,0,0
XSS,search,CG-Static,0.5,6,0,0
XSS,calc,CG-Static,0.3,1,0,0
XSS,search,CG-Static,0.3,1,0,0
XSS,calc,CG-Static,0.4,3,0,0
XSS,search,CG-Static,0.4,3,0,0
XSS,calc,CG-Static,0.1,10,0,0
XSS,search,CG-Static,0.1,10,0,0
XSS,calc,CG-Static,0.3,10,0,0
XSS,search,CG-Static,0.3,10,0,0
XSS,calc,CG-Static,0.1,8,0,0
XSS,search,CG-Static,0.1,8,0,0
XSS,calc,CG-Static,0.2,5,0,0
XSS,search,CG-Static,0.2,5,0,0
XSS,calc,CG-Static,0.2,10,0,0
XSS,search,CG-Static,0.2,10,0,0
XSS,calc,CG-Static,0.3,3,0,0
XSS,search,CG-Static,0.3,3,0,0
XSS,calc,CG-Static,0.2,8,0,0
XSS,search,CG-Static,0.2,8,0,0
XSS,calc,CG-Static,0.3,6,0,0
XSS,search,CG-Static,0.3,6,0,0
XSS,calc,CG-Static,0.2,4,0,0
XSS,search,CG-Static,0.2,4,0,0
XSS,calc,CG-Static,0.4,7,0,0
XSS,search,CG-Static,0.4,7,0,0
XSS,calc,CG-Static,0.4,9,0,0
XSS,search,CG-Static,0.4,9,0,0
XSS,calc,CG-Static,0.5,2,0,0
XSS,search,CG-Static,0.5,2,0,0
XSS,calc,CG-Static,0.2,1,0,0
XSS,search,CG-Static,0.2,1,0,0
XSS,calc,CG-Static,0.2,6,0,0
XSS,search,CG-Static,0.2,6,0,0
XSS,calc,CG-Static,0.3,4,0,0
XSS,search,CG-Static,0.3,4,0,0
XSS,calc,CG-Static,0.3,8,0,0
XSS,search,CG-Static,0.3,8,0,0
XSS,calc,CG-Static,0.5,10,0,0
XSS,search,CG-Static,0.5,10,0,0
XSS,calc,CG-Static,0.1,9,0,0
XSS,search,CG-Static,0.1,9,0,0
XSS,calc,CG-Static,0.5,4,0,0
XSS,search,CG-Static,0.5,4,0,0
XSS,calc,CG-Static,0.5,3,0,0
XSS,search,CG-Static,0.5,3,0,0
XSS,calc,CG-Static,0.4,4,0,0
XSS,search,CG-Static,0.4,4,0,0
XSS,calc,CG-Static,0.5,7,0,0
XSS,search,CG-Static,0.5,7,0,0
XSS,calc,CG-Static,0.3,2,0,0
XSS,search,CG-Static,0.3,2,0,0
XSS,calc,CG-Static,0.4,8,0,0
XSS,search,CG-Static,0.4,8,0,0
XSS,calc,CG-Static,0.1,6,0,0
XSS,search,CG-Static,0.1,6,0,0
XSS,calc,CG-Static,0.1,3,0,0
XSS,search,CG-Static,0.1,3,0,0
XSS,calc,CG-Static,0.2,3,0,0
XSS,search,CG-Static,0.2,3,0,0
XSS,calc,CG-Static,0.5,8,0,0
XSS,search,CG-Static,0.5,8,0,0
XSS,calc,CG-Static,0.4,6,0,0
XSS,search,CG-Static,0.4,6,0,0
XSS,calc,CG-Static,0.3,7,0,0
XSS,search,CG-Static,0.3,7,0,0
XSS,calc,CG-Static,0.4,1,0,0
XSS,search,CG-Static,0.4,1,0,0
XSS,calc,CG-Static,0.4,5,0,0
XSS,search,CG-Static,0.4,5,0,0
XSS,calc,CG-Static,0.5,5,0,0
XSS,search,CG-Static,0.5,5,0,0
XSS,calc,CG-Static,0.4,10,0,0
XSS,search,CG-Static,0.4,10,0,0
XSS,calc,CG-Static,0.1,7,0,0
XSS,search,CG-Static,0.1,7,0,0
XSS,calc,CG-Static,0.3,5,0,0
XSS,search,CG-Static,0.3,5,0,0
XSS,calc,CG-Static,0.1,5,0,0
XSS,search,CG-Static,0.1,5,0,0
XSS,calc,CG-Static,0.1,2,0,0
XSS,search,CG-Static,0.1,2,0,0
XSS,calc,CG-Static,0.5,1,0,0
XSS,search,CG-Static,0.5,1,0,0
XSS,calc,CG-Static,0.4,2,0,0
XSS,search,CG-Static,0.4,2,0,0
XSS,calc,CG-Static,0.3,9,0,0
XSS,search,CG-Static,0.3,9,0,0
XSS,calc,CG-Static,0.1,4,0,0
XSS,search,CG-Static,0.1,4,0,0
XSS,calc,CG-Static,0.2,9,0,0
XSS,search,CG-Static,0.2,9,0,0
SQLi,product,PP-Static,,10,2,0
SQLi,search,PP-Static,,10,12,0
SQLi,login,PP-Static,,10,15,0
SQLi,filter,PP-Static,,10,18,0
SQLi,product,PP-Static,,6,6,0
SQLi,search,PP-Static,,6,10,0
SQLi,login,PP-Static,,6,18,0
SQLi,filter,PP-Static,,6,33,0
SQLi,product,PP-Static,,8,2,0
SQLi,search,PP-Static,,8,27,0
SQLi,login,PP-Static,,8,15,0
SQLi,filter,PP-Static,,8,38,0
SQLi,product,PP-Static,,4,27,0
SQLi,search,PP-Static,,4,127,0
SQLi,login,PP-Static,,4,19,0
SQLi,filter,PP-Static,,4,21,0
SQLi,product,PP-Static,,1,49,0
SQLi,search,PP-Static,,1,133,0
SQLi,login,PP-Static,,1,37,0
SQLi,filter,PP-Static,,1,164,0
SQLi,product,PP-Static,,5,36,0
SQLi,search,PP-Static,,5,112,0
SQLi,login,PP-Static,,5,15,0
SQLi,filter,PP-Static,,5,26,0
SQLi,product,PP-Static,,3,29,0
SQLi,search,PP-Static,,3,139,0
SQLi,login,PP-Static,,3,33,0
SQLi,filter,PP-Static,,3,197,0
SQLi,product,PP-Static,,9,8,0
SQLi,search,PP-Static,,9,13,0
SQLi,login,PP-Static,,9,24,0
SQLi,filter,PP-Static,,9,28,0
SQLi,product,PP-Static,,7,4,0
SQLi,search,PP-Static,,7,10,0
SQLi,login,PP-Static,,7,11,0
SQLi,filter,PP-Static,,7,33,1
SQLi,product,PP-Static,,2,24,0
SQLi,search,PP-Static,,2,166,0
SQLi,login,PP-Static,,2,48,0
SQLi,filter,PP-Static,,2,166,0
XSS,calc,PP-Static,,1,11,0
XSS,search,PP-Static,,1,30,0
XSS,calc,PP-Static,,6,5,0
XSS,search,PP-Static,,6,15,0
XSS,calc,PP-Static,,7,13,0
XSS,search,PP-Static,,7,7,0
XSS,calc,PP-Static,,8,8,0
XSS,search,PP-Static,,8,1,0
XSS,calc,PP-Static,,5,10,0
XSS,search,PP-Static,,5,2,0
XSS,calc,PP-Static,,9,10,0
XSS,search,PP-Static,,9,3,0
XSS,calc,PP-Static,,4,5,0
XSS,search,PP-Static,,4,14,0
XSS,calc,PP-Static,,3,4,0
XSS,search,PP-Static,,3,7,0
XSS,calc,PP-Static,,2,10,0
XSS,search,PP-Static,,2,61,0
XSS,calc,PP-Static,,10,6,0
XSS,search,PP-Static,,10,36,0
SQLi,login,RG,0.3,3,0,0
SQLi,filter,RG,0.3,3,0,0
SQLi,search,RG,0.3,3,0,0
SQLi,product,RG,0.3,3,0,0
SQLi,login,RG,0.3,8,0,0
SQLi,filter,RG,0.3,8,0,0
SQLi,search,RG,0.3,8,0,0
SQLi,product,RG,0.3,8,0,0
SQLi,login,RG,0.3,6,0,0
SQLi,filter,RG,0.3,6,0,0
SQLi,search,RG,0.3,6,0,0
SQLi,product,RG,0.3,6,0,0
SQLi,login,RG,0.3,9,0,0
SQLi,filter,RG,0.3,9,0,0
SQLi,search,RG,0.3,9,0,0
SQLi,product,RG,0.3,9,0,0
SQLi,login,RG,0.3,10,0,0
SQLi,filter,RG,0.3,10,0,0
SQLi,search,RG,0.3,10,0,0
SQLi,product,RG,0.3,10,0,0
SQLi,login,RG,0.3,5,0,0
SQLi,filter,RG,0.3,5,0,0
SQLi,search,RG,0.3,5,0,0
SQLi,product,RG,0.3,5,0,0
SQLi,login,RG,0.3,2,0,0
SQLi,filter,RG,0.3,2,0,0
SQLi,search,RG,0.3,2,0,0
SQLi,product,RG,0.3,2,0,0
SQLi,login,RG,0.3,4,0,0
SQLi,filter,RG,0.3,4,0,0
SQLi,search,RG,0.3,4,0,0
SQLi,product,RG,0.3,4,0,0
SQLi,login,RG,0.3,1,0,0
SQLi,filter,RG,0.3,1,0,0
SQLi,search,RG,0.3,1,0,0
SQLi,product,RG,0.3,1,0,0
SQLi,login,RG,0.3,7,0,0
SQLi,filter,RG,0.3,7,0,0
SQLi,search,RG,0.3,7,0,0
SQLi,product,RG,0.3,7,0,0
XSS,search,RG,0.3,1,0,0
XSS,calc,RG,0.3,1,0,0
XSS,search,RG,0.3,10,0,0
XSS,calc,RG,0.3,10,0,0
XSS,search,RG,0.3,3,0,0
XSS,calc,RG,0.3,3,0,0
XSS,search,RG,0.3,6,0,0
XSS,calc,RG,0.3,6,0,0
XSS,search,RG,0.3,4,0,0
XSS,calc,RG,0.3,4,0,0
XSS,search,RG,0.3,8,0,0
XSS,calc,RG,0.3,8,0,0
XSS,search,RG,0.3,2,0,0
XSS,calc,RG,0.3,2,0,0
XSS,search,RG,0.3,7,0,0
XSS,calc,RG,0.3,7,0,0
XSS,search,RG,0.3,5,0,0
XSS,calc,RG,0.3,5,0,0
XSS,search,RG,0.3,9,0,0
XSS,calc,RG,0.3,9,0,0
SQLi,login,CG-Adaptive,0.4,9,0,0
SQLi,search,CG-Adaptive,0.4,9,0,0
SQLi,product,CG-Adaptive,0.4,9,0,0
SQLi,filter,CG-Adaptive,0.4,9,0,0
SQLi,login,CG-Adaptive,0.3,7,0,0
SQLi,search,CG-Adaptive,0.3,7,0,0
SQLi,product,CG-Adaptive,0.3,7,0,0
SQLi,filter,CG-Adaptive,0.3,7,0,0
SQLi,login,CG-Adaptive,0.1,5,0,0
SQLi,search,CG-Adaptive,0.1,5,0,0
SQLi,product,CG-Adaptive,0.1,5,0,0
SQLi,filter,CG-Adaptive,0.1,5,0,0
SQLi,login,CG-Adaptive,0.5,1,0,0
SQLi,search,CG-Adaptive,0.5,1,0,0
SQLi,product,CG-Adaptive,0.5,1,0,0
SQLi,filter,CG-Adaptive,0.5,1,0,0
SQLi,login,CG-Adaptive,0.2,2,0,0
SQLi,search,CG-Adaptive,0.2,2,0,0
SQLi,product,CG-Adaptive,0.2,2,0,0
SQLi,filter,CG-Adaptive,0.2,2,0,0
SQLi,login,CG-Adaptive,0.4,1,0,0
SQLi,search,CG-Adaptive,0.4,1,0,0
SQLi,product,CG-Adaptive,0.4,1,0,0
SQLi,filter,CG-Adaptive,0.4,1,0,0
SQLi,login,CG-Adaptive,0.3,2,0,0
SQLi,search,CG-Adaptive,0.3,2,0,0
SQLi,product,CG-Adaptive,0.3,2,0,0
SQLi,filter,CG-Adaptive,0.3,2,0,0
SQLi,login,CG-Adaptive,0.1,10,0,0
SQLi,search,CG-Adaptive,0.1,10,0,0
SQLi,product,CG-Adaptive,0.1,10,0,0
SQLi,filter,CG-Adaptive,0.1,10,0,0
SQLi,login,CG-Adaptive,0.2,5,0,0
SQLi,search,CG-Adaptive,0.2,5,0,0
SQLi,product,CG-Adaptive,0.2,5,0,0
SQLi,filter,CG-Adaptive,0.2,5,0,0
SQLi,login,CG-Adaptive,0.1,1,0,0
SQLi,search,CG-Adaptive,0.1,1,0,0
SQLi,product,CG-Adaptive,0.1,1,0,0
SQLi,filter,CG-Adaptive,0.1,1,0,0
SQLi,login,CG-Adaptive,0.4,5,0,0
SQLi,search,CG-Adaptive,0.4,5,0,0
SQLi,product,CG-Adaptive,0.4,5,0,0
SQLi,filter,CG-Adaptive,0.4,5,0,0
SQLi,login,CG-Adaptive,0.2,6,0,0
SQLi,search,CG-Adaptive,0.2,6,0,0
SQLi,product,CG-Adaptive,0.2,6,0,0
SQLi,filter,CG-Adaptive,0.2,6,0,0
SQLi,login,CG-Adaptive,0.2,1,0,0
SQLi,search,CG-Adaptive,0.2,1,0,0
SQLi,product,CG-Adaptive,0.2,1,0,0
SQLi,filter,CG-Adaptive,0.2,1,0,0
SQLi,login,CG-Adaptive,0.4,4,0,0
SQLi,search,CG-Adaptive,0.4,4,0,0
SQLi,product,CG-Adaptive,0.4,4,0,0
SQLi,filter,CG-Adaptive,0.4,4,0,0
SQLi,login,CG-Adaptive,0.1,8,0,0
SQLi,search,CG-Adaptive,0.1,8,0,0
SQLi,product,CG-Adaptive,0.1,8,0,0
SQLi,filter,CG-Adaptive,0.1,8,0,0
SQLi,login,CG-Adaptive,0.1,3,0,0
SQLi,search,CG-Adaptive,0.1,3,0,0
SQLi,product,CG-Adaptive,0.1,3,0,0
SQLi,filter,CG-Adaptive,0.1,3,0,0
SQLi,login,CG-Adaptive,0.5,6,0,0
SQLi,search,CG-Adaptive,0.5,6,0,0
SQLi,product,CG-Adaptive,0.5,6,0,0
SQLi,filter,CG-Adaptive,0.5,6,0,0
SQLi,login,CG-Adaptive,0.2,7,0,0
SQLi,search,CG-Adaptive,0.2,7,0,0
SQLi,product,CG-Adaptive,0.2,7,0,0
SQLi,filter,CG-Adaptive,0.2,7,0,0
SQLi,login,CG-Adaptive,0.2,4,0,0
SQLi,search,CG-Adaptive,0.2,4,0,0
SQLi,product,CG-Adaptive,0.2,4,0,0
SQLi,filter,CG-Adaptive,0.2,4,0,0
SQLi,login,CG-Adaptive,0.1,7,0,0
SQLi,search,CG-Adaptive,0.1,7,0,0
SQLi,product,CG-Adaptive,0.1,7,0,0
SQLi,filter,CG-Adaptive,0.1,7,0,0
SQLi,login,CG-Adaptive,0.2,3,0,0
SQLi,search,CG-Adaptive,0.2,3,0,0
SQLi,product,CG-Adaptive,0.2,3,0,0
SQLi,filter,CG-Adaptive,0.2,3,0,0
SQLi,login,CG-Adaptive,0.3,6,0,0
SQLi,search,CG-Adaptive,0.3,6,0,0
SQLi,product,CG-Adaptive,0.3,6,0,0
SQLi,filter,CG-Adaptive,0.3,6,0,0
SQLi,login,CG-Adaptive,0.1,6,0,0
SQLi,search,CG-Adaptive,0.1,6,0,0
SQLi,product,CG-Adaptive,0.1,6,0,0
SQLi,filter,CG-Adaptive,0.1,6,0,0
SQLi,login,CG-Adaptive,0.5,2,0,0
SQLi,search,CG-Adaptive,0.5,2,0,0
SQLi,product,CG-Adaptive,0.5,2,0,0
SQLi,filter,CG-Adaptive,0.5,2,0,0
SQLi,login,CG-Adaptive,0.5,9,0,0
SQLi,search,CG-Adaptive,0.5,9,0,0
SQLi,product,CG-Adaptive,0.5,9,0,0
SQLi,filter,CG-Adaptive,0.5,9,0,0
SQLi,login,CG-Adaptive,0.4,7,0,0
SQLi,search,CG-Adaptive,0.4,7,0,0
SQLi,product,CG-Adaptive,0.4,7,0,0
SQLi,filter,CG-Adaptive,0.4,7,0,0
SQLi,login,CG-Adaptive,0.1,2,0,0
SQLi,search,CG-Adaptive,0.1,2,0,0
SQLi,product,CG-Adaptive,0.1,2,0,0
SQLi,filter,CG-Adaptive,0.1,2,0,0
SQLi,login,CG-Adaptive,0.5,4,0,0
SQLi,search,CG-Adaptive,0.5,4,0,0
SQLi,product,CG-Adaptive,0.5,4,0,0
SQLi,filter,CG-Adaptive,0.5,4,0,0
SQLi,login,CG-Adaptive,0.2,9,0,0
SQLi,search,CG-Adaptive,0.2,9,0,0
SQLi,product,CG-Adaptive,0.2,9,0,0
SQLi,filter,CG-Adaptive,0.2,9,0,0
SQLi,login,CG-Adaptive,0.3,9,0,0
SQLi,search,CG-Adaptive,0.3,9,0,0
SQLi,product,CG-Adaptive,0.3,9,0,0
SQLi,filter,CG-Adaptive,0.3,9,0,0
SQLi,login,CG-Adaptive,0.3,8,0,0
SQLi,search,CG-Adaptive,0.3,8,0,0
SQLi,product,CG-Adaptive,0.3,8,0,0
SQLi,filter,CG-Adaptive,0.3,8,0,0
SQLi,login,CG-Adaptive,0.3,1,0,0
SQLi,search,CG-Adaptive,0.3,1,0,0
SQLi,product,CG-Adaptive,0.3,1,0,0
SQLi,filter,CG-Adaptive,0.3,1,0,0
SQLi,login,CG-Adaptive,0.5,3,0,0
SQLi,search,CG-Adaptive,0.5,3,0,0
SQLi,product,CG-Adaptive,0.5,3,0,0
SQLi,filter,CG-Adaptive,0.5,3,0,0
SQLi,login,CG-Adaptive,0.3,4,0,0
SQLi,search,CG-Adaptive,0.3,4,0,0
SQLi,product,CG-Adaptive,0.3,4,0,0
SQLi,filter,CG-Adaptive,0.3,4,0,0
SQLi,login,CG-Adaptive,0.2,10,0,0
SQLi,search,CG-Adaptive,0.2,10,0,0
SQLi,product,CG-Adaptive,0.2,10,0,0
SQLi,filter,CG-Adaptive,0.2,10,0,0
SQLi,login,CG-Adaptive,0.4,3,0,0
SQLi,search,CG-Adaptive,0.4,3,0,0
SQLi,product,CG-Adaptive,0.4,3,0,0
SQLi,filter,CG-Adaptive,0.4,3,0,0
SQLi,login,CG-Adaptive,0.4,2,0,0
SQLi,search,CG-Adaptive,0.4,2,0,0
SQLi,product,CG-Adaptive,0.4,2,0,0
SQLi,filter,CG-Adaptive,0.4,2,0,0
SQLi,login,CG-Adaptive,0.5,8,0,0
SQLi,search,CG-Adaptive,0.5,8,0,0
SQLi,product,CG-Adaptive,0.5,8,0,0
SQLi,filter,CG-Adaptive,0.5,8,0,0
SQLi,login,CG-Adaptive,0.1,4,0,0
SQLi,search,CG-Adaptive,0.1,4,0,0
SQLi,product,CG-Adaptive,0.1,4,0,0
SQLi,filter,CG-Adaptive,0.1,4,0,0
SQLi,login,CG-Adaptive,0.3,10,0,0
SQLi,search,CG-Adaptive,0.3,10,0,0
SQLi,product,CG-Adaptive,0.3,10,0,0
SQLi,filter,CG-Adaptive,0.3,10,0,0
SQLi,login,CG-Adaptive,0.4,6,0,0
SQLi,search,CG-Adaptive,0.4,6,0,0
SQLi,product,CG-Adaptive,0.4,6,0,0
SQLi,filter,CG-Adaptive,0.4,6,0,0
SQLi,login,CG-Adaptive,0.5,5,0,0
SQLi,search,CG-Adaptive,0.5,5,0,0
SQLi,product,CG-Adaptive,0.5,5,0,0
SQLi,filter,CG-Adaptive,0.5,5,0,0
SQLi,login,CG-Adaptive,0.3,5,0,0
SQLi,search,CG-Adaptive,0.3,5,0,0
SQLi,product,CG-Adaptive,0.3,5,0,0
SQLi,filter,CG-Adaptive,0.3,5,0,0
SQLi,login,CG-Adaptive,0.4,10,0,0
SQLi,search,CG-Adaptive,0.4,10,0,0
SQLi,product,CG-Adaptive,0.4,10,0,0
SQLi,filter,CG-Adaptive,0.4,10,0,0
