family,context,strategy,eps,seed,rule_id,phase,action,transforms,msg,rule_text
SQLi,product,CG-Static,0.3,3,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison'"""
SQLi,search,CG-Static,0.3,3,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology via SELECT CASE WHEN structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology via SELECT CASE WHEN structure'"""
SQLi,login,CG-Static,0.3,3,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ' ?[;#-]{1,2}"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator'"""
SQLi,filter,CG-Static,0.3,3,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number'"""
SQLi,product,CG-Static,0.5,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison'"""
SQLi,search,CG-Static,0.5,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology - SELECT CASE WHEN structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology - SELECT CASE WHEN structure'"""
SQLi,login,CG-Static,0.5,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ['\""] ?[;#-]{1,2}"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator'"""
SQLi,filter,CG-Static,0.5,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number'"""
SQLi,product,CG-Static,0.2,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY pattern detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY pattern detected'"""
SQLi,search,CG-Static,0.2,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology: select case when ... end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology: select case when ... end comparison'"""
SQLi,login,CG-Static,0.2,10,210000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection - comment breakout with quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ' ?(;|--|#|/\*)"" ""id:210000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection - comment breakout with quote followed by comment or terminator'"""
SQLi,filter,CG-Static,0.2,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology - CASE expression comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology - CASE expression comparison'"""
SQLi,filter,CG-Static,0.2,10,931344,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - CASE expression comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:931344,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - CASE expression comparison'"""
SQLi,product,CG-Static,0.3,8,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi-Disguised-Tautology-Case-Expression,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi-Disguised-Tautology-Case-Expression'"""
SQLi,search,CG-Static,0.3,8,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: SELECT CASE WHEN ... END comparison'"""
SQLi,login,CG-Static,0.3,8,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT pattern detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ' ?(;|--|#|/\*)"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT pattern detected'"""
SQLi,filter,CG-Static,0.3,8,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology - CASE WHEN structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology - CASE WHEN structure'"""
SQLi,product,CG-Static,0.5,1,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology Detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology Detected'"""
SQLi,search,CG-Static,0.5,1,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi: disguised tautology with select case when end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi: disguised tautology with select case when end comparison'"""
SQLi,login,CG-Static,0.5,1,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed immediately by SQL comment or statement terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ['\""`][;#-]{1,2}"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed immediately by SQL comment or statement terminator'"""
SQLi,login,CG-Static,0.5,1,150001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by statement terminator or comment,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ' *(;|--|#|/\\*)"" ""id:150001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by statement terminator or comment'"""
SQLi,filter,CG-Static,0.5,1,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi disguised tautology via select case when structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi disguised tautology via select case when structure'"""
SQLi,product,CG-Static,0.4,4,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology Detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology Detected'"""
SQLi,search,CG-Static,0.4,4,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi disguised tautology via select case when ... end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi disguised tautology via select case when ... end comparison'"""
SQLi,login,CG-Static,0.4,4,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote or number followed immediately by SQL comment or statement terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx (?:'|\""|\d)(--|#|\/\;|\/\*|;)"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote or number followed immediately by SQL comment or statement terminator'"""
SQLi,login,CG-Static,0.4,4,483834,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT detected: quote followed by comment or statement terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ['\""] ?(;|--|#|/\*)"" ""id:483834,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT detected: quote followed by comment or statement terminator'"""
SQLi,filter,CG-Static,0.4,4,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi disguised tautology: select case when (...) end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi disguised tautology: select case when (...) end compared to number'"""
SQLi,product,CG-Static,0.4,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx or \(select\s+case\s+when\b.+?\bend\b\)\s*(=|!=|<>|>=|<=|<|>)\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison'"""
SQLi,product,CG-Static,0.4,10,372113,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - select case when ... end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:372113,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - select case when ... end comparison'"""
SQLi,search,CG-Static,0.4,10,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison'"""
SQLi,login,CG-Static,0.4,10,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx '(\;|--|#)"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator'"""
SQLi,login,CG-Static,0.4,10,210001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx '(\s*;|--|#|/\*)"" ""id:210001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or terminator'"""
SQLi,login,CG-Static,0.4,10,210000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection - comment breakout detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx '(\-\-|#|;|\/\*)"" ""id:210000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection - comment breakout detected'"""
SQLi,filter,CG-Static,0.4,10,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN structure'"""
SQLi,product,CG-Static,0.1,9,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology: CASE expression compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology: CASE expression compared to number'"""
SQLi,search,CG-Static,0.1,9,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi - disguised tautology with select case when end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi - disguised tautology with select case when end comparison'"""
SQLi,login,CG-Static,0.1,9,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or statement terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ' ?(;|--|#|/\*)"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or statement terminator'"""
SQLi,filter,CG-Static,0.1,9,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology: select case when ... end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology: select case when ... end compared to number'"""
SQLi,product,CG-Static,0.4,7,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology Detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology Detected'"""
SQLi,search,CG-Static,0.4,7,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx (?:['\""]|\\b\\d+)\\s*(?:--|#|;|/\\*)"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT detected'"""
SQLi,login,CG-Static,0.4,7,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote then ; then -- comment,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx ['\""][ ]*;[ ]*--"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote then ; then -- comment'"""
SQLi,filter,CG-Static,0.4,7,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY - select case when ... end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY - select case when ... end compared to number'"""
SQLi,product,CG-Static,0.3,6,150000,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi disguised tautology with select case when structure,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:150000,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi disguised tautology with select case when structure'"""
SQLi,search,CG-Static,0.3,6,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - SELECT CASE WHEN ... END comparison'"""
SQLi,login,CG-Static,0.3,6,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx (?:'|\\d)(?:;|--|#|/\\*)"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT detected'"""
