family,context,strategy,regime,eps,seed,bypasses_B,accepted_rules,rules_per_100,defense_calls,attacker_calls,calls_per_rule,candidates,rejected,input_tokens,output_tokens,gen_time_s,rule_eval_time_s,wall_time_s,est_cost_usd
SQLi,login,CG-Static,static,0.5,3,300,1,0.3333,1,0,1.0,1,0,1342,95,2.1,8.72,14.0,0.00069
SQLi,login,CG-Static,static,0.5,4,300,2,0.6667,19,0,9.5,19,17,26945,1832,55.5,50.16,115.0,0.01371
SQLi,login,CG-Static,static,0.5,5,300,2,0.6667,4,0,2.0,4,2,5476,393,12.1,19.66,35.9,0.00282
SQLi,login,CG-Static,static,0.5,6,300,1,0.3333,1,0,1.0,1,0,1349,96,2.8,8.91,14.8,0.00069
SQLi,login,CG-Static,static,0.5,7,300,3,1.0,24,0,8.0,24,21,30548,2297,78.9,51.04,140.6,0.01589
SQLi,login,CG-Static,static,0.5,8,300,2,0.6667,4,0,2.0,4,2,5513,392,10.3,17.78,32.0,0.00283
SQLi,login,CG-Static,static,0.5,9,300,2,0.6667,4,0,2.0,4,2,5506,392,12.1,19.37,35.9,0.00283
SQLi,login,CG-Static,static,0.5,10,300,1,0.3333,1,0,1.0,1,0,1340,102,2.6,9.28,15.0,0.0007
SQLi,search,PP-Static,static,0.3,1,300,210,70.0,607,0,2.89,607,397,684166,92003,2034.5,1381.81,3581.1,0.42087
SQLi,search,PP-Static,static,0.3,2,300,193,64.3333,614,0,3.18,614,421,692594,93123,2294.2,1344.67,3817.4,0.42603
SQLi,search,PP-Static,static,0.3,3,300,204,68.0,598,0,2.93,598,394,673343,90609,2237.0,1472.3,3883.8,0.41431
SQLi,search,PP-Static,static,0.3,4,300,215,71.6667,589,0,2.74,589,374,660437,88256,2141.1,1594.8,3898.2,0.40538
SQLi,search,PP-Static,static,0.3,5,300,216,72.0,582,0,2.69,582,366,651649,88018,2128.5,1658.0,3954.3,0.40149
SQLi,search,PP-Static,static,0.3,6,300,222,74.0,566,0,2.55,566,344,761563,87976,1670.7,1291.67,3157.0,0.44539
SQLi,search,PP-Static,static,0.3,7,300,219,73.0,571,0,2.61,571,352,769436,88692,1620.4,1300.77,3117.0,0.44968
SQLi,search,PP-Static,static,0.3,8,300,227,75.6667,558,0,2.46,558,331,749775,85862,1636.4,1411.06,3240.5,0.43729
SQLi,search,PP-Static,static,0.3,9,300,230,76.6667,556,0,2.42,556,326,747216,86375,1847.6,1369.17,3407.6,0.43709
SQLi,search,PP-Static,static,0.3,10,300,225,75.0,573,0,2.55,573,348,772050,89092,1634.5,1378.14,3207.8,0.45137
SQLi,search,RG,static,0.3,1,300,1,0.3333,1,0,1.0,1,0,1824,126,1.8,7.86,12.4,0.00093
SQLi,search,RG,static,0.3,2,300,2,0.6667,7,0,3.5,8,6,8768,956,13.8,21.04,39.8,0.00504
SQLi,search,RG,static,0.3,3,300,1,0.3333,1,0,1.0,1,0,1748,132,1.8,8.06,12.6,0.00091
SQLi,search,RG,static,0.3,4,300,3,1.0,22,0,7.33,24,21,26622,2919,44.7,40.75,95.3,0.01532
SQLi,search,RG,static,0.3,5,300,1,0.3333,1,0,1.0,1,0,1782,131,2.1,9.32,14.6,0.00092
SQLi,search,RG,static,0.3,6,300,1,0.3333,1,0,1.0,1,0,1761,133,1.7,9.13,14.0,0.00092
SQLi,search,RG,static,0.3,7,300,1,0.3333,1,0,1.0,1,0,1808,118,2.0,9.33,14.7,0.00091
SQLi,search,RG,static,0.3,8,300,1,0.3333,1,0,1.0,1,0,1848,118,1.8,9.37,14.1,0.00093
SQLi,search,RG,static,0.3,9,300,1,0.3333,1,0,1.0,1,0,1791,122,1.9,8.63,13.6,0.00091
SQLi,search,RG,static,0.3,10,300,1,0.3333,1,0,1.0,1,0,1768,130,1.8,7.74,12.3,0.00092
SQLi,search,CG-Static,static,0.1,1,300,1,0.3333,1,0,1.0,1,0,1119,133,2.2,8.32,13.6,0.00066
SQLi,search,CG-Static,static,0.1,2,300,1,0.3333,31,0,31.0,31,30,36580,4022,92.5,42.54,144.1,0.02107
SQLi,search,CG-Static,static,0.1,3,300,1,0.3333,2,0,2.0,2,1,2288,267,5.1,8.1,16.4,0.00134
SQLi,search,CG-Static,static,0.1,4,300,1,0.3333,31,0,31.0,31,30,36577,4073,84.3,44.47,139.3,0.02115
SQLi,search,CG-Static,static,0.1,5,300,1,0.3333,2,0,2.0,2,1,2280,235,4.5,8.4,15.1,0.00129
SQLi,search,CG-Static,static,0.1,6,300,1,0.3333,3,0,3.0,3,2,3562,369,7.7,8.55,18.6,0.00202
SQLi,search,CG-Static,static,0.1,7,300,1,0.3333,1,0,1.0,1,0,1155,117,2.7,8.05,13.6,0.00065
SQLi,search,CG-Static,static,0.1,8,300,1,0.3333,2,0,2.0,2,1,2302,234,4.4,8.18,15.8,0.0013
SQLi,search,CG-Static,static,0.1,9,300,1,0.3333,1,0,1.0,1,0,1104,120,2.2,8.01,13.1,0.00063
SQLi,search,CG-Static,static,0.1,10,300,1,0.3333,2,0,2.0,2,1,2304,256,10.1,8.5,20.8,0.00133
SQLi,search,CG-Static,static,0.2,1,300,1,0.3333,1,0,1.0,1,0,1813,136,2.3,9.03,14.4,0.00094
SQLi,search,CG-Static,static,0.2,2,300,1,0.3333,31,0,31.0,32,31,36778,4037,75.6,50.44,138.7,0.02117
SQLi,search,CG-Static,static,0.2,3,300,1,0.3333,1,0,1.0,1,0,1776,122,2.0,8.65,13.7,0.00091
SQLi,search,CG-Static,static,0.2,4,300,1,0.3333,31,0,31.0,31,30,37253,3904,70.0,50.97,133.6,0.02115
SQLi,search,CG-Static,static,0.2,5,300,1,0.3333,1,0,1.0,1,0,1711,134,2.4,8.9,14.4,0.0009
SQLi,search,CG-Static,static,0.2,6,300,1,0.3333,2,0,2.0,2,1,2316,254,5.4,8.69,17.4,0.00133
SQLi,search,CG-Static,static,0.2,7,300,1,0.3333,1,0,1.0,1,0,1718,122,2.5,8.53,14.0,0.00088
SQLi,search,CG-Static,static,0.2,8,300,1,0.3333,1,0,1.0,1,0,1756,122,2.2,8.74,13.9,0.0009
SQLi,search,CG-Static,static,0.2,9,300,1,0.3333,1,0,1.0,1,0,1775,124,1.8,8.89,13.8,0.00091
SQLi,search,CG-Static,static,0.2,10,300,1,0.3333,1,0,1.0,1,0,1114,124,2.1,8.57,13.7,0.00064
SQLi,search,CG-Static,static,0.3,1,300,1,0.3333,1,0,1.0,1,0,1765,122,2.7,9.79,15.8,0.0009
SQLi,search,CG-Static,static,0.3,2,300,1,0.3333,31,0,31.0,31,30,37212,3983,92.1,65.93,170.9,0.02126
SQLi,search,CG-Static,static,0.3,3,300,1,0.3333,1,0,1.0,1,0,1773,120,3.9,10.31,17.4,0.0009
SQLi,search,CG-Static,static,0.3,4,300,1,0.3333,31,0,31.0,31,30,37256,4051,93.6,65.15,171.8,0.02138
SQLi,search,CG-Static,static,0.3,5,300,1,0.3333,1,0,1.0,1,0,1776,120,3.2,9.98,16.4,0.0009
SQLi,search,CG-Static,static,0.3,6,300,1,0.3333,1,0,1.0,1,0,1806,136,3.7,9.75,16.8,0.00094
SQLi,search,CG-Static,static,0.3,7,300,1,0.3333,1,0,1.0,1,0,1823,122,3.0,10.59,16.9,0.00092
SQLi,search,CG-Static,static,0.3,8,300,1,0.3333,1,0,1.0,1,0,1778,122,2.7,10.28,16.4,0.00091
SQLi,search,CG-Static,static,0.3,9,300,1,0.3333,1,0,1.0,1,0,1768,124,2.2,10.02,15.6,0.00091
SQLi,search,CG-Static,static,0.3,10,300,1,0.3333,1,0,1.0,1,0,1780,122,3.4,9.96,16.7,0.00091
SQLi,search,CG-Static,static,0.4,1,300,1,0.3333,1,0,1.0,1,0,1794,122,5.0,7.54,15.2,0.00091
SQLi,search,CG-Static,static,0.4,2,300,2,0.6667,30,0,15.0,30,28,35959,3894,124.4,43.22,179.7,0.02061
SQLi,search,CG-Static,static,0.4,3,300,1,0.3333,1,0,1.0,1,0,1780,119,7.5,7.99,18.2,0.0009
SQLi,search,CG-Static,static,0.4,4,300,1,0.3333,30,0,30.0,30,29,35999,3933,112.6,38.11,162.8,0.02069
SQLi,search,CG-Static,static,0.4,5,300,2,0.6667,2,0,1.0,2,0,2843,239,8.7,13.52,25.4,0.00152
SQLi,search,CG-Static,static,0.4,6,300,1,0.3333,1,0,1.0,1,0,1838,117,2.8,8.33,14.2,0.00092
SQLi,search,CG-Static,static,0.4,7,300,1,0.3333,1,0,1.0,2,1,1785,210,4.0,8.75,15.7,0.00105
SQLi,search,CG-Static,static,0.4,8,300,2,0.6667,2,0,1.0,3,1,3725,327,6.4,14.26,23.9,0.00201
SQLi,search,CG-Static,static,0.4,9,300,1,0.3333,1,0,1.0,1,0,1761,122,3.2,8.35,14.6,0.0009
SQLi,search,CG-Static,static,0.4,10,300,1,0.3333,1,0,1.0,1,0,1763,122,3.6,7.73,14.1,0.0009
SQLi,search,CG-Static,static,0.5,1,300,1,0.3333,1,0,1.0,1,0,1794,118,3.5,8.96,15.6,0.00091
SQLi,search,CG-Static,static,0.5,2,300,1,0.3333,30,0,30.0,30,29,35991,3803,104.3,45.15,161.7,0.02048
SQLi,search,CG-Static,static,0.5,3,300,1,0.3333,1,0,1.0,1,0,1780,120,4.2,8.15,15.2,0.0009
SQLi,search,CG-Static,static,0.5,4,300,1,0.3333,30,0,30.0,30,29,35999,3995,123.5,46.87,182.6,0.02079
SQLi,search,CG-Static,static,0.5,5,300,2,0.6667,2,0,1.0,2,0,2843,239,6.2,13.08,22.6,0.00152
SQLi,search,CG-Static,static,0.5,6,300,1,0.3333,1,0,1.0,1,0,1838,120,3.4,8.46,14.9,0.00093
SQLi,search,CG-Static,static,0.5,7,300,1,0.3333,1,0,1.0,2,1,1785,213,4.7,8.91,16.5,0.00105
SQLi,search,CG-Static,static,0.5,8,300,2,0.6667,2,0,1.0,2,0,2915,241,6.2,13.81,23.5,0.00155
SQLi,search,CG-Static,static,0.5,9,300,1,0.3333,1,0,1.0,1,0,1761,119,2.6,8.31,13.9,0.00089
SQLi,search,CG-Static,static,0.5,10,300,1,0.3333,1,0,1.0,1,0,1763,120,3.6,8.53,15.1,0.0009
SQLi,product,PP-Static,static,0.3,1,300,214,71.3333,560,0,2.62,560,346,621495,78858,1699.7,1028.52,2917.1,0.37477
SQLi,product,PP-Static,static,0.3,2,300,205,68.3333,561,0,2.74,561,356,623156,79262,1702.2,1063.94,2947.6,0.37608
SQLi,product,PP-Static,static,0.3,3,300,216,72.0,532,0,2.46,532,316,585599,74621,1908.0,1067.74,3149.3,0.35363
SQLi,product,PP-Static,static,0.3,4,300,214,71.3333,563,0,2.63,563,349,624841,79941,2144.5,1060.12,3391.0,0.37784
SQLi,product,PP-Static,static,0.3,5,300,228,76.0,525,0,2.3,525,297,577715,74148,1623.5,1151.72,2951.8,0.34972
SQLi,product,PP-Static,static,0.3,6,300,182,60.6667,730,0,4.01,730,548,1001248,113400,2120.4,941.87,3300.9,0.58194
SQLi,product,PP-Static,static,0.3,7,300,154,51.3333,719,0,4.67,719,565,985750,112357,2283.7,827.94,3345.0,0.57407
SQLi,product,PP-Static,static,0.3,8,300,180,60.0,703,0,3.91,703,523,962160,110997,2282.5,992.92,3506.8,0.56246
SQLi,product,PP-Static,static,0.3,9,300,177,59.0,702,0,3.97,702,525,959424,109030,2299.4,985.63,3516.4,0.55822
SQLi,product,PP-Static,static,0.3,10,300,177,59.0,714,0,4.03,714,537,977465,110664,2279.6,996.59,3511.7,0.56805
SQLi,product,RG,static,0.3,1,300,1,0.3333,1,0,1.0,1,0,1765,125,2.9,8.55,14.4,0.00091
SQLi,product,RG,static,0.3,2,300,1,0.3333,1,0,1.0,1,0,1711,116,1.8,8.4,13.2,0.00087
SQLi,product,RG,static,0.3,3,300,1,0.3333,1,0,1.0,1,0,1740,129,2.3,8.46,13.7,0.0009
SQLi,product,RG,static,0.3,4,300,1,0.3333,1,0,1.0,1,0,1708,127,2.0,8.48,13.5,0.00089
SQLi,product,RG,static,0.3,5,300,1,0.3333,1,0,1.0,1,0,1714,122,2.1,8.8,13.9,0.00088
SQLi,product,RG,static,0.3,6,300,1,0.3333,1,0,1.0,1,0,1753,125,2.0,8.46,13.4,0.0009
SQLi,product,RG,static,0.3,7,300,1,0.3333,1,0,1.0,1,0,1717,127,2.1,8.87,13.8,0.00089
SQLi,product,RG,static,0.3,8,300,1,0.3333,1,0,1.0,1,0,1695,119,2.1,8.49,13.6,0.00087
SQLi,product,RG,static,0.3,9,300,1,0.3333,1,0,1.0,1,0,1729,141,2.0,8.54,13.5,0.00092
SQLi,product,RG,static,0.3,10,300,1,0.3333,1,0,1.0,1,0,1732,128,2.2,8.43,13.6,0.0009
SQLi,product,CG-Static,static,0.1,1,300,1,0.3333,1,0,1.0,1,0,1109,120,2.5,8.52,13.9,0.00064
SQLi,product,CG-Static,static,0.1,2,300,1,0.3333,1,0,1.0,1,0,1338,117,2.5,8.9,14.7,0.00072
SQLi,product,CG-Static,static,0.1,3,300,1,0.3333,1,0,1.0,1,0,1107,119,2.3,8.85,13.2,0.00063
SQLi,product,CG-Static,static,0.1,4,300,1,0.3333,2,0,2.0,2,1,2294,248,5.0,9.07,17.6,0.00131
SQLi,product,CG-Static,static,0.1,5,300,1,0.3333,1,0,1.0,1,0,1106,117,2.2,8.84,13.1,0.00063
SQLi,product,CG-Static,static,0.1,6,300,2,0.6667,3,0,1.5,3,1,3407,365,6.9,13.5,23.2,0.00195
SQLi,product,CG-Static,static,0.1,7,300,1,0.3333,2,0,2.0,2,1,2288,259,5.0,8.5,16.7,0.00133
SQLi,product,CG-Static,static,0.1,8,300,1,0.3333,1,0,1.0,1,0,1119,116,2.4,9.27,13.6,0.00063
SQLi,product,CG-Static,static,0.1,9,300,1,0.3333,1,0,1.0,1,0,1112,121,2.2,8.78,14.2,0.00064
SQLi,product,CG-Static,static,0.1,10,300,1,0.3333,1,0,1.0,1,0,1108,119,1.2,8.17,12.3,0.00063
SQLi,product,CG-Static,static,0.2,1,300,1,0.3333,1,0,1.0,1,0,1109,122,2.8,8.42,14.3,0.00064
SQLi,product,CG-Static,static,0.2,2,300,1,0.3333,1,0,1.0,1,0,1706,124,2.1,8.72,13.8,0.00088
SQLi,product,CG-Static,static,0.2,3,300,1,0.3333,1,0,1.0,1,0,1714,122,2.3,8.65,14.0,0.00088
SQLi,product,CG-Static,static,0.2,4,300,1,0.3333,1,0,1.0,1,0,1672,134,2.6,9.23,14.9,0.00088
SQLi,product,CG-Static,static,0.2,5,300,1,0.3333,1,0,1.0,1,0,1745,133,2.2,9.64,14.9,0.00091
SQLi,product,CG-Static,static,0.2,6,300,1,0.3333,1,0,1.0,1,0,1764,116,4.1,9.81,17.2,0.00089
SQLi,product,CG-Static,static,0.2,7,300,1,0.3333,1,0,1.0,1,0,1714,122,2.0,9.82,15.2,0.00088
SQLi,product,CG-Static,static,0.2,8,300,1,0.3333,1,0,1.0,1,0,1119,120,2.0,9.39,14.7,0.00064
SQLi,product,CG-Static,static,0.2,9,300,1,0.3333,1,0,1.0,1,0,1735,133,2.5,8.89,14.7,0.00091
SQLi,product,CG-Static,static,0.2,10,300,1,0.3333,1,0,1.0,1,0,1714,117,1.9,8.71,13.6,0.00087
SQLi,product,CG-Static,static,0.3,1,300,1,0.3333,1,0,1.0,1,0,1717,122,2.7,10.51,16.5,0.00088
SQLi,product,CG-Static,static,0.3,2,300,1,0.3333,1,0,1.0,1,0,1694,120,2.7,10.08,16.2,0.00087
SQLi,product,CG-Static,static,0.3,3,300,1,0.3333,1,0,1.0,1,0,1711,122,3.2,9.91,16.6,0.00088
SQLi,product,CG-Static,static,0.3,4,300,1,0.3333,1,0,1.0,1,0,1713,122,2.5,9.82,15.6,0.00088
SQLi,product,CG-Static,static,0.3,5,300,1,0.3333,1,0,1.0,1,0,1729,131,7.0,9.81,20.1,0.0009
SQLi,product,CG-Static,static,0.3,6,300,1,0.3333,1,0,1.0,1,0,1737,116,2.2,9.67,15.1,0.00088
SQLi,product,CG-Static,static,0.3,7,300,1,0.3333,1,0,1.0,1,0,1730,122,3.1,9.58,15.9,0.00089
SQLi,product,CG-Static,static,0.3,8,300,1,0.3333,1,0,1.0,1,0,1736,120,2.6,10.23,16.2,0.00089
SQLi,product,CG-Static,static,0.3,9,300,1,0.3333,1,0,1.0,1,0,1710,120,3.3,10.04,16.7,0.00088
SQLi,product,CG-Static,static,0.3,10,300,1,0.3333,1,0,1.0,1,0,1729,134,3.3,9.72,16.3,0.00091
SQLi,product,CG-Static,static,0.4,1,300,1,0.3333,1,0,1.0,1,0,1725,124,3.7,7.83,14.2,0.00089
SQLi,product,CG-Static,static,0.4,2,300,2,0.6667,2,0,1.0,2,0,2797,236,7.2,12.31,22.6,0.0015
SQLi,product,CG-Static,static,0.4,3,300,1,0.3333,1,0,1.0,1,0,1724,122,2.9,7.85,13.5,0.00088
SQLi,product,CG-Static,static,0.4,4,300,1,0.3333,1,0,1.0,1,0,1736,117,4.1,7.59,14.4,0.00088
SQLi,product,CG-Static,static,0.4,5,300,1,0.3333,1,0,1.0,1,0,1716,122,3.8,7.76,14.2,0.00088
SQLi,product,CG-Static,static,0.4,6,300,1,0.3333,1,0,1.0,1,0,1712,122,3.9,8.16,14.9,0.00088
SQLi,product,CG-Static,static,0.4,7,300,1,0.3333,1,0,1.0,1,0,1711,117,2.6,8.1,13.6,0.00087
SQLi,product,CG-Static,static,0.4,8,300,1,0.3333,1,0,1.0,1,0,1749,124,3.0,7.68,13.4,0.0009
SQLi,product,CG-Static,static,0.4,9,300,1,0.3333,1,0,1.0,1,0,1712,122,3.0,7.68,13.4,0.00088
SQLi,product,CG-Static,static,0.4,10,300,2,0.6667,2,0,1.0,2,0,2993,256,6.5,12.25,21.9,0.00161
SQLi,product,CG-Static,static,0.5,1,300,1,0.3333,1,0,1.0,1,0,1725,117,3.9,8.4,15.2,0.00088
SQLi,product,CG-Static,static,0.5,2,300,1,0.3333,1,0,1.0,1,0,1693,136,4.8,7.81,15.4,0.00089
SQLi,product,CG-Static,static,0.5,3,300,1,0.3333,1,0,1.0,1,0,1724,122,3.4,8.61,14.9,0.00088
SQLi,product,CG-Static,static,0.5,4,300,1,0.3333,1,0,1.0,1,0,1736,122,3.7,8.5,15.4,0.00089
SQLi,product,CG-Static,static,0.5,5,300,1,0.3333,1,0,1.0,1,0,1716,122,3.1,8.83,14.9,0.00088
SQLi,product,CG-Static,static,0.5,6,300,1,0.3333,1,0,1.0,1,0,1712,120,3.6,8.98,15.7,0.00088
SQLi,product,CG-Static,static,0.5,7,300,1,0.3333,1,0,1.0,1,0,1711,122,6.1,8.92,18.1,0.00088
SQLi,product,CG-Static,static,0.5,8,300,2,0.6667,2,0,1.0,2,0,2868,240,7.5,13.08,24.1,0.00153
SQLi,product,CG-Static,static,0.5,9,300,1,0.3333,1,0,1.0,1,0,1712,122,3.8,8.25,15.0,0.00088
SQLi,product,CG-Static,static,0.5,10,300,1,0.3333,1,0,1.0,1,0,1742,122,3.6,8.84,15.5,0.00089
SQLi,filter,PP-Static,static,0.3,1,300,191,63.6667,653,0,3.42,653,462,732778,90172,2616.6,1559.12,4361.7,0.43739
SQLi,filter,PP-Static,static,0.3,2,300,187,62.3333,673,0,3.6,673,486,756716,92355,4092.2,1570.23,5846.1,0.45045
SQLi,filter,PP-Static,static,0.3,3,300,195,65.0,662,0,3.39,662,467,744808,91821,3816.0,1836.75,5819.5,0.44484
SQLi,filter,PP-Static,static,0.3,4,300,181,60.3333,683,0,3.77,683,502,923778,95907,1898.4,1131.78,3254.8,0.52296
