family,page,seed,epsilon,converged,heldout_block_pct,heldout_residual,accepted_rules,rounds,defense_calls,rejected,input_tokens,output_tokens,est_cost_usd,added_fp_pct
SQLi,login,9,0.4,1,100.0,0,1,1,1,0,37251,6011,0.0245,0.0
SQLi,login,10,0.4,0,0.4,259,1,10,42,41,130378,19829,0.0839,0.55
SQLi,login,1,0.5,1,100.0,0,2,3,7,5,54025,8623,0.0354,0.0
SQLi,login,2,0.5,1,100.0,0,2,2,4,2,41050,6354,0.0266,0.55
SQLi,login,3,0.5,1,100.0,0,1,1,1,0,37262,5989,0.0245,0.0
SQLi,login,4,0.5,1,100.0,0,1,1,1,0,34666,5698,0.023,0.0
SQLi,login,5,0.5,1,100.0,0,2,1,2,0,38521,6199,0.0253,0.0
SQLi,login,6,0.5,1,100.0,0,2,3,8,6,50590,8082,0.0332,0.55
SQLi,login,7,0.5,1,100.0,0,2,1,2,0,38498,6095,0.0252,0.0
SQLi,login,8,0.5,1,100.0,0,2,2,4,2,43475,6608,0.028,0.55
SQLi,login,9,0.5,1,100.0,0,1,1,1,0,37254,5966,0.0244,0.55
SQLi,login,10,0.5,1,100.0,0,2,1,2,0,38490,6111,0.0252,0.55
SQLi,search,1,0.1,1,100.0,0,1,1,1,0,27035,18305,0.0401,0.0
SQLi,search,2,0.1,1,100.0,0,1,1,1,0,27081,18336,0.0402,0.0
SQLi,search,3,0.1,1,99.6,1,1,1,1,0,32324,23497,0.0505,0.0
SQLi,search,4,0.1,1,98.9,3,1,1,1,0,27035,18490,0.0404,0.0
SQLi,search,5,0.1,1,99.6,1,2,2,3,1,49108,35247,0.076,0.0
SQLi,search,6,0.1,1,99.2,2,1,1,1,0,27345,18079,0.0399,0.0
SQLi,search,7,0.1,1,100.0,0,1,1,1,0,29643,20515,0.0447,0.0
SQLi,search,8,0.1,1,100.0,0,1,1,1,0,30289,21061,0.0458,0.0
SQLi,search,9,0.1,1,98.9,3,2,2,2,0,44725,28388,0.0633,0.0
SQLi,search,10,0.1,0,15.7,209,5,10,784,794,997711,128445,0.6046,0.0
SQLi,search,1,0.2,1,100.0,0,1,1,1,0,27660,19056,0.0416,0.0
SQLi,search,2,0.2,1,98.4,4,1,1,1,0,30203,21711,0.0468,0.0
SQLi,search,3,0.2,1,98.8,3,1,1,1,0,30216,21447,0.0464,0.0
SQLi,search,4,0.2,1,100.0,0,1,1,1,0,27634,18718,0.041,0.0
SQLi,search,5,0.2,1,100.0,0,1,1,1,0,27629,19384,0.0421,0.0
SQLi,search,6,0.2,1,100.0,0,1,1,1,0,30225,20206,0.0444,0.0
SQLi,search,7,0.2,0,21.6,222,2,10,512,526,721281,118735,0.4785,0.55
SQLi,search,8,0.2,1,99.6,1,1,1,1,0,27356,18694,0.0409,0.0
SQLi,search,9,0.2,1,100.0,0,1,2,4,3,37704,22977,0.0518,0.0
SQLi,search,10,0.2,1,100.0,0,1,1,1,0,27564,18508,0.0406,0.0
SQLi,search,1,0.3,1,99.3,2,1,1,1,0,27607,17954,0.0398,0.0
SQLi,search,2,0.3,1,99.6,1,1,1,1,0,27586,18226,0.0402,0.0
SQLi,search,3,0.3,1,99.6,1,1,1,1,0,30151,20479,0.0448,0.0
SQLi,search,4,0.3,1,98.9,3,2,1,2,0,31505,20784,0.0459,0.0
SQLi,search,5,0.3,1,100.0,0,1,1,1,0,32844,22532,0.0492,0.0
SQLi,search,6,0.3,1,99.6,1,3,2,3,0,35944,23502,0.052,0.55
SQLi,search,7,0.3,1,99.6,1,1,1,1,0,30234,21181,0.046,0.0
SQLi,search,8,0.3,1,99.6,1,1,1,1,0,32771,21716,0.0479,0.0
SQLi,search,9,0.3,1,100.0,0,1,1,1,0,27598,18384,0.0405,0.0
SQLi,search,10,0.3,1,100.0,0,1,1,1,0,30246,20115,0.0443,0.0
SQLi,search,1,0.4,1,100.0,0,1,1,1,0,30205,22502,0.0481,0.0
SQLi,search,2,0.4,1,98.9,3,1,1,1,0,30273,20777,0.0454,0.0
SQLi,search,3,0.4,1,100.0,0,1,1,1,0,32810,22062,0.0484,0.0
SQLi,search,4,0.4,1,100.0,0,1,1,1,0,30229,20838,0.0454,0.0
SQLi,search,5,0.4,1,100.0,0,2,10,25,23,146726,42371,0.1265,0.0
SQLi,search,6,0.4,1,100.0,0,1,1,1,0,30221,20291,0.0446,0.0
SQLi,search,7,0.4,1,100.0,0,1,1,1,0,27652,18195,0.0402,0.0
SQLi,search,8,0.4,1,99.6,1,1,1,1,0,32839,21933,0.0482,0.0
SQLi,search,9,0.4,1,99.6,1,1,1,1,0,30220,20991,0.0457,0.0
SQLi,search,10,0.4,0,0.4,281,2,10,26,24,155102,46626,0.1366,0.0
SQLi,search,1,0.5,1,100.0,0,2,2,5,3,41036,22479,0.0524,0.55
SQLi,search,2,0.5,1,99.6,1,1,1,1,0,30198,20262,0.0445,0.0
SQLi,search,3,0.5,1,100.0,0,1,1,1,0,27564,18871,0.0412,0.0
SQLi,search,4,0.5,0,7.2,270,1,10,28,27,134524,35727,0.111,0.0
SQLi,search,5,0.5,1,100.0,0,1,1,1,0,30218,20461,0.0448,0.0
SQLi,search,6,0.5,1,100.0,0,1,1,1,0,30242,20224,0.0445,0.0
SQLi,search,7,0.5,1,100.0,0,1,1,1,0,27649,18848,0.0412,0.0
SQLi,search,8,0.5,1,100.0,0,2,2,2,0,42548,25427,0.0577,0.55
SQLi,search,9,0.5,1,100.0,0,1,1,1,0,27656,18033,0.0399,0.0
SQLi,search,10,0.5,1,98.9,3,4,5,11,13,60549,25965,0.0658,0.05
SQLi,product,1,0.1,1,100.0,0,1,1,1,0,27269,19110,0.0415,0.0
SQLi,product,2,0.1,1,100.0,0,1,1,1,0,26726,19117,0.0413,0.0
SQLi,product,3,0.1,1,100.0,0,1,1,1,0,26659,18804,0.0408,0.0
SQLi,product,4,0.1,1,99.6,1,1,1,2,1,27831,18562,0.0408,0.0
SQLi,product,5,0.1,1,99.6,1,1,1,1,0,29267,20540,0.0446,0.0
SQLi,product,6,0.1,1,100.0,0,1,1,1,0,26736,18560,0.0404,0.0
SQLi,product,7,0.1,1,100.0,0,2,2,2,0,39495,27193,0.0593,0.0
SQLi,product,8,0.1,1,100.0,0,1,1,1,0,26733,19123,0.0413,0.0
SQLi,product,9,0.1,1,100.0,0,2,1,3,1,28926,19208,0.0423,0.0
SQLi,product,10,0.1,1,100.0,0,2,2,2,0,43244,28837,0.0634,0.0
SQLi,product,1,0.2,1,100.0,0,1,1,1,0,27222,18820,0.041,0.0
SQLi,product,2,0.2,1,100.0,0,1,1,1,0,26675,19222,0.0414,0.0
SQLi,product,3,0.2,1,100.0,0,1,1,1,0,26723,18956,0.041,0.0
SQLi,product,4,0.2,1,100.0,0,1,1,1,0,27279,19383,0.0419,0.0
SQLi,product,5,0.2,1,100.0,0,1,1,1,0,27219,18366,0.0403,0.0
SQLi,product,6,0.2,1,100.0,0,1,1,1,0,27203,18962,0.0412,0.0
SQLi,product,7,0.2,1,100.0,0,1,1,1,0,27218,18596,0.0406,0.0
SQLi,product,8,0.2,1,100.0,0,1,1,1,0,27289,18736,0.0409,0.0
SQLi,product,9,0.2,1,100.0,0,1,1,1,0,27282,19952,0.0428,0.0
SQLi,product,10,0.2,1,100.0,0,1,1,1,0,27263,18811,0.041,0.0
SQLi,product,1,0.3,1,99.3,2,2,1,2,0,28337,19157,0.042,0.0
SQLi,product,2,0.3,1,99.6,1,1,1,1,0,29766,20115,0.0441,0.0
SQLi,product,3,0.3,1,100.0,0,1,1,1,0,27233,19242,0.0417,0.0
SQLi,product,4,0.3,1,100.0,0,1,1,1,0,26865,20671,0.0438,0.0
SQLi,product,5,0.3,1,100.0,0,1,1,1,0,27266,18724,0.0409,0.0
SQLi,product,6,0.3,1,99.6,1,1,1,1,0,29824,21277,0.046,0.0
SQLi,product,7,0.3,1,100.0,0,1,1,1,0,27292,19272,0.0418,0.0
SQLi,product,8,0.3,1,100.0,0,1,1,1,0,27297,18541,0.0406,0.0
SQLi,product,9,0.3,1,100.0,0,1,1,1,0,29892,20619,0.0449,0.0
SQLi,product,10,0.3,1,97.5,7,2,2,2,0,39678,26506,0.0583,0.0
SQLi,product,1,0.4,1,100.0,0,1,1,1,0,27249,19797,0.0426,0.0
SQLi,product,2,0.4,1,100.0,0,1,1,1,0,29814,20017,0.044,0.0
SQLi,product,3,0.4,1,96.1,11,2,3,2,0,59760,35578,0.0808,0.0
SQLi,product,4,0.4,1,100.0,0,1,1,1,0,27296,19314,0.0418,0.0
SQLi,product,5,0.4,1,100.0,0,1,1,1,0,27269,20075,0.043,0.0
SQLi,product,6,0.4,1,100.0,0,1,1,1,0,27249,18901,0.0411,0.0
SQLi,product,7,0.4,1,100.0,0,1,1,1,0,29830,20688,0.045,0.0
SQLi,product,8,0.4,1,100.0,0,1,1,1,0,27261,18475,0.0405,0.0
SQLi,product,9,0.4,1,100.0,0,1,1,1,0,27240,18789,0.041,0.0
SQLi,product,10,0.4,1,100.0,0,1,1,1,0,27264,19391,0.0419,0.0
SQLi,product,1,0.5,1,100.0,0,2,1,2,0,28463,19081,0.0419,0.0
SQLi,product,2,0.5,1,100.0,0,1,1,1,0,27317,18819,0.041,0.0
SQLi,product,3,0.5,1,99.3,2,1,1,1,0,27260,18623,0.0407,0.0
SQLi,product,4,0.5,1,100.0,0,1,1,1,0,27244,19474,0.0421,0.0
SQLi,product,5,0.5,1,98.9,3,1,1,1,0,27276,18443,0.0404,0.0
SQLi,product,6,0.5,1,100.0,0,1,1,1,0,27212,18775,0.0409,0.0
SQLi,product,7,0.5,0,79.7,52,5,10,32,28,95729,30903,0.0877,0.55
SQLi,product,8,0.5,1,100.0,0,1,1,1,0,27262,18392,0.0403,0.0
SQLi,product,9,0.5,1,100.0,0,1,1,1,0,29797,20677,0.045,0.0
SQLi,product,10,0.5,1,100.0,0,1,1,1,0,27267,19279,0.0418,0.0
SQLi,filter,1,0.1,1,100.0,0,1,1,1,0,29236,20408,0.0443,0.0
SQLi,filter,2,0.1,1,100.0,0,1,1,1,0,28721,20763,0.0447,0.0
SQLi,filter,3,0.1,1,99.6,1,1,1,1,0,28758,22431,0.0474,0.0
SQLi,filter,4,0.1,1,100.0,0,3,2,3,1,42584,30218,0.0654,0.0
SQLi,filter,5,0.1,1,100.0,0,1,1,1,0,26281,19195,0.0412,0.0
SQLi,filter,6,0.1,1,99.2,2,2,6,413,433,569952,93341,0.3773,0.0
SQLi,filter,7,0.1,1,100.0,0,1,1,2,1,29899,19045,0.0424,0.0
SQLi,filter,8,0.1,1,100.0,0,1,1,1,0,28713,21395,0.0457,0.0
SQLi,filter,9,0.1,1,100.0,0,1,1,1,0,28800,20750,0.0447,0.0
SQLi,filter,10,0.1,1,100.0,0,1,1,1,0,28714,21217,0.0454,0.0
SQLi,filter,1,0.2,1,97.3,6,1,1,1,1,31816,22340,0.0485,0.55
SQLi,filter,2,0.2,1,100.0,0,1,1,1,0,31747,22431,0.0486,0.0
SQLi,filter,3,0.2,1,100.0,0,1,1,1,0,29282,21140,0.0455,0.0
SQLi,filter,4,0.2,1,98.9,3,1,1,1,0,29278,19926,0.0436,0.0
SQLi,filter,5,0.2,1,100.0,0,1,1,1,0,26808,19300,0.0416,0.0
SQLi,filter,6,0.2,1,100.0,0,1,1,1,0,26753,19466,0.0418,0.0
SQLi,filter,7,0.2,1,100.0,0,1,1,1,0,31814,23026,0.0496,0.0
SQLi,filter,8,0.2,1,100.0,0,1,1,1,0,29267,21152,0.0456,0.0
SQLi,filter,9,0.2,1,100.0,0,1,1,1,0,29264,20398,0.0443,0.0
SQLi,filter,10,0.2,1,99.6,1,1,1,1,0,29267,20731,0.0449,0.0
SQLi,filter,1,0.3,1,100.0,0,1,1,1,0,29261,20980,0.0453,0.0
SQLi,filter,2,0.3,1,100.0,0,1,1,1,0,31819,22446,0.0486,0.0
SQLi,filter,3,0.3,1,100.0,0,1,1,1,0,29281,20851,0.0451,0.0
SQLi,filter,4,0.3,1,100.0,0,1,1,1,0,26759,18688,0.0406,0.0
SQLi,filter,5,0.3,1,100.0,0,1,1,1,0,29275,21702,0.0464,0.0
SQLi,filter,6,0.3,1,99.6,1,1,1,1,0,29276,20414,0.0444,0.0
SQLi,filter,7,0.3,1,100.0,0,1,1,1,0,26750,19169,0.0414,0.0
SQLi,filter,8,0.3,1,100.0,0,1,1,1,0,31801,22281,0.0484,0.0
SQLi,filter,9,0.3,1,100.0,0,1,1,1,0,34322,23717,0.0517,0.0
SQLi,filter,10,0.3,1,100.0,0,1,1,1,0,26777,18993,0.0411,0.0
SQLi,filter,1,0.4,1,99.7,1,1,1,1,0,31797,21940,0.0478,0.0
SQLi,filter,2,0.4,1,100.0,0,1,1,1,0,31808,23104,0.0497,0.0
SQLi,filter,3,0.4,1,99.6,1,1,1,1,0,29302,21025,0.0454,0.0
SQLi,filter,4,0.4,1,96.9,8,1,1,1,0,34327,24331,0.0527,0.0
SQLi,filter,5,0.4,1,100.0,0,1,1,1,0,29284,20631,0.0447,0.0
SQLi,filter,6,0.4,1,100.0,0,1,1,1,0,29281,20903,0.0452,0.0
SQLi,filter,7,0.4,1,100.0,0,1,1,1,0,29307,20972,0.0453,0.0
SQLi,filter,8,0.4,1,100.0,0,1,1,1,0,29300,20535,0.0446,0.0
SQLi,filter,9,0.4,1,100.0,0,1,1,1,0,29263,20819,0.045,0.0
SQLi,filter,10,0.4,1,99.6,1,1,1,1,0,29283,21045,0.0454,0.0
SQLi,filter,1,0.5,1,100.0,0,1,1,1,0,29306,20239,0.0441,0.0
SQLi,filter,2,0.5,1,100.0,0,1,1,1,0,31783,22439,0.0486,0.0
SQLi,filter,3,0.5,1,100.0,0,1,1,1,0,29256,21304,0.0458,0.0
SQLi,filter,4,0.5,1,99.6,1,2,1,2,0,27871,19130,0.0418,0.0
SQLi,filter,5,0.5,1,100.0,0,1,1,1,0,29255,21486,0.0461,0.0
SQLi,filter,6,0.5,0,23.6,201,1,10,28,28,147735,40990,0.1247,0.0
SQLi,filter,7,0.5,1,100.0,0,1,1,1,0,31807,23360,0.0501,0.0
SQLi,filter,8,0.5,1,100.0,0,1,1,1,0,31810,22006,0.0479,0.0
SQLi,filter,9,0.5,0,23.9,201,1,10,28,27,121922,33769,0.1028,0.0
SQLi,filter,10,0.5,1,100.0,0,2,2,2,0,54531,24332,0.0607,0.0
XSS,search,1,0.1,1,100.0,0,1,1,2,2,24997,13328,0.0313,0.0
XSS,search,2,0.1,1,100.0,0,1,1,1,0,25654,13567,0.032,0.0
XSS,search,3,0.1,1,100.0,0,1,1,1,0,23153,12825,0.0298,0.0
XSS,search,4,0.1,1,99.4,1,1,1,1,0,24401,13015,0.0306,0.0
XSS,search,5,0.1,1,100.0,0,2,1,6,4,33168,14615,0.0367,0.0
XSS,search,6,0.1,1,99.3,1,2,1,3,1,26631,13960,0.033,0.0
XSS,search,7,0.1,1,100.0,0,2,1,5,4,31482,14737,0.0362,0.0
XSS,search,8,0.1,1,100.0,0,1,1,1,0,24399,13359,0.0311,0.0
XSS,search,9,0.1,1,100.0,0,2,1,2,0,26113,13714,0.0324,0.0
XSS,search,10,0.1,1,100.0,0,1,1,1,0,23153,13196,0.0304,0.0
XSS,search,1,0.2,1,100.0,0,2,1,2,0,26119,13775,0.0325,0.0
XSS,search,2,0.2,1,100.0,0,2,1,2,0,27368,13745,0.0329,0.0
XSS,search,3,0.2,1,100.0,0,2,1,3,1,30399,14330,0.0351,0.0
XSS,search,4,0.2,1,98.4,2,1,1,1,0,24432,13107,0.0307,0.0
XSS,search,5,0.2,1,100.0,0,2,1,2,0,24864,13654,0.0318,0.0
XSS,search,6,0.2,1,100.0,0,1,1,2,3,27506,14731,0.0346,0.0
XSS,search,7,0.2,1,100.0,0,1,1,1,0,24434,13226,0.0309,0.0
XSS,search,8,0.2,1,100.0,0,1,1,1,0,25679,14479,0.0334,0.0
XSS,search,9,0.2,1,100.0,0,2,1,4,2,29774,13311,0.0332,0.0
XSS,search,10,0.2,1,100.0,0,2,1,2,2,26272,12726,0.0309,0.0
XSS,search,1,0.3,1,100.0,0,1,1,2,1,26452,13725,0.0325,0.0
XSS,search,2,0.3,1,100.0,0,2,1,2,0,26117,13336,0.0318,0.0
XSS,search,3,0.3,1,100.0,0,2,1,4,4,29874,14775,0.0356,0.0
XSS,search,4,0.3,1,100.0,0,2,1,4,5,29856,13701,0.0339,0.0
XSS,search,5,0.3,1,100.0,0,1,1,2,1,24920,12946,0.0307,0.0
XSS,search,6,0.3,1,100.0,0,2,2,3,4,30147,15864,0.0374,0.0
XSS,search,7,0.3,1,100.0,0,2,2,5,5,29903,15210,0.0363,0.0
XSS,search,8,0.3,1,100.0,0,2,2,3,1,35919,17090,0.0417,0.0
XSS,search,9,0.3,1,100.0,0,1,1,1,0,24556,12935,0.0305,0.0
XSS,search,10,0.3,1,100.0,0,2,1,3,1,27955,13533,0.0328,0.0
XSS,search,1,0.4,1,100.0,0,1,1,1,0,24641,13389,0.0313,0.0
XSS,search,2,0.4,1,100.0,0,1,1,2,1,26626,13943,0.033,0.0
XSS,search,3,0.4,1,100.0,0,1,1,1,0,23389,13415,0.0308,0.0
XSS,search,4,0.4,1,100.0,0,1,1,1,0,23336,12267,0.029,0.0
XSS,search,5,0.4,1,100.0,0,1,1,1,0,24027,12998,0.0304,0.0
XSS,search,6,0.4,1,100.0,0,2,1,1,1,23270,12949,0.03,0.0
XSS,search,7,0.4,1,100.0,0,1,1,1,2,25859,13793,0.0324,0.0
XSS,search,8,0.4,1,100.0,0,1,1,1,0,24634,13212,0.031,0.0
XSS,search,9,0.4,1,100.0,0,1,1,1,0,24608,12967,0.0306,0.0
XSS,search,10,0.4,1,100.0,0,1,1,1,0,25828,13728,0.0323,0.0
XSS,search,1,0.5,1,100.0,0,1,1,1,0,25888,14812,0.0341,0.0
XSS,search,2,0.5,1,100.0,0,2,1,1,1,24637,13057,0.0307,0.0
XSS,search,3,0.5,1,100.0,0,1,1,1,0,25895,13880,0.0326,0.0
XSS,search,4,0.5,1,100.0,0,1,1,1,0,23344,12735,0.0297,0.0
XSS,search,5,0.5,1,100.0,0,1,1,1,0,24621,13053,0.0307,0.0
XSS,search,6,0.5,1,100.0,0,2,1,1,1,24636,13894,0.0321,0.0
XSS,search,7,0.5,1,100.0,0,2,1,2,0,26344,13157,0.0316,0.0
XSS,search,8,0.5,1,100.0,0,1,1,1,0,24630,13430,0.0313,0.0
XSS,search,9,0.5,1,100.0,0,1,1,1,0,24636,13283,0.0311,0.0
XSS,search,10,0.5,1,100.0,0,2,1,1,1,24606,13163,0.0309,0.0
XSS,calc,1,0.1,1,100.0,0,1,1,1,0,20738,13485,0.0299,0.0
XSS,calc,2,0.1,1,100.0,0,2,2,2,1,25643,13942,0.0326,0.0
XSS,calc,3,0.1,1,100.0,0,2,1,3,5,23769,11972,0.0287,0.0
XSS,calc,4,0.1,1,100.0,0,3,2,3,2,29942,17130,0.0394,0.0
XSS,calc,5,0.1,1,100.0,0,2,1,3,3,25463,13166,0.0313,0.0
XSS,calc,6,0.1,1,100.0,0,1,1,1,0,20741,14909,0.0322,0.0
XSS,calc,7,0.1,1,100.0,0,2,2,2,0,26267,14631,0.0339,0.0
XSS,calc,8,0.1,1,100.0,0,2,2,6,10,28951,10470,0.0283,0.0
XSS,calc,9,0.1,1,100.0,0,4,4,4,4,37794,12487,0.0351,0.0
XSS,calc,10,0.1,1,100.0,0,2,2,2,2,25020,12302,0.0297,0.0
XSS,calc,1,0.2,1,100.0,0,1,1,1,0,20735,12240,0.0279,0.0
XSS,calc,2,0.2,1,100.0,0,1,1,1,0,19479,14850,0.0316,0.0
XSS,calc,3,0.2,1,100.0,0,2,1,3,5,23044,12410,0.0291,0.0
XSS,calc,4,0.2,1,100.0,0,1,1,1,0,20735,13614,0.0301,0.0
XSS,calc,5,0.2,1,100.0,0,2,1,4,2,26045,12887,0.031,0.0
XSS,calc,6,0.2,1,100.0,0,4,2,5,4,29618,12506,0.0319,0.0
XSS,calc,7,0.2,1,100.0,0,1,1,1,0,20735,15328,0.0328,0.0
XSS,calc,8,0.2,1,100.0,0,2,2,4,2,29682,13013,0.0327,0.0
XSS,calc,9,0.2,1,100.0,0,2,1,2,2,22439,12429,0.0289,0.0
XSS,calc,10,0.2,1,100.0,0,2,1,3,3,21786,12254,0.0283,0.0
XSS,calc,1,0.3,1,100.0,0,2,2,2,2,27820,17221,0.0387,0.0
XSS,calc,2,0.3,1,100.0,0,3,2,4,2,28680,11536,0.0299,0.0
XSS,calc,3,0.3,1,100.0,0,3,2,3,0,27020,11435,0.0291,0.0
XSS,calc,4,0.3,1,100.0,0,2,1,3,3,21829,11495,0.0271,0.0
XSS,calc,5,0.3,1,100.0,0,2,1,3,1,23026,13780,0.0313,0.0
XSS,calc,6,0.3,1,100.0,0,1,1,1,0,20736,13415,0.0298,0.0
XSS,calc,7,0.3,1,100.0,0,1,1,3,7,23236,14787,0.033,0.0
XSS,calc,8,0.3,1,100.0,0,4,5,7,7,49086,20603,0.0526,0.0
XSS,calc,9,0.3,1,100.0,0,2,2,3,5,26504,11346,0.0288,0.0
XSS,calc,10,0.3,1,100.0,0,2,2,3,2,27488,13602,0.0328,0.0
XSS,calc,1,0.4,1,100.0,0,1,1,1,0,16968,10529,0.0236,0.0
XSS,calc,2,0.4,1,100.0,0,3,3,3,2,31289,15827,0.0378,0.0
XSS,calc,3,0.4,1,100.0,0,1,1,1,0,20734,14065,0.0308,0.0
XSS,calc,4,0.4,1,100.0,0,1,1,1,0,16960,11905,0.0258,0.0
XSS,calc,5,0.4,1,100.0,0,4,3,6,3,34059,11783,0.0325,0.0
XSS,calc,6,0.4,1,100.0,0,2,2,2,0,25686,12750,0.0307,0.0
XSS,calc,7,0.4,1,100.0,0,2,1,2,2,22460,12852,0.0295,0.0
XSS,calc,8,0.4,1,100.0,0,2,1,2,2,22476,11861,0.028,0.0
XSS,calc,9,0.4,1,100.0,0,4,1,2,0,21267,12994,0.0293,0.0
XSS,calc,10,0.4,1,100.0,0,3,2,3,4,25652,15392,0.0349,0.0
XSS,calc,1,0.5,1,98.9,1,3,2,6,8,28742,11790,0.0304,0.0
XSS,calc,2,0.5,1,99.2,1,2,1,2,2,22435,12140,0.0284,0.0
XSS,calc,3,0.5,1,100.0,0,4,2,3,3,25376,11856,0.0291,0.0
XSS,calc,4,0.5,1,100.0,0,2,1,4,5,26113,13965,0.0328,0.0
XSS,calc,5,0.5,1,100.0,0,4,3,7,11,39315,19582,0.0471,0.0
XSS,calc,6,0.5,1,100.0,0,2,1,3,6,24275,13657,0.0316,0.0
XSS,calc,7,0.5,1,100.0,0,3,1,3,6,24339,11937,0.0288,0.0
XSS,calc,8,0.5,1,100.0,0,2,1,2,0,22474,11950,0.0281,0.0
XSS,calc,9,0.5,1,100.0,0,2,2,3,3,25662,14478,0.0334,0.0
XSS,calc,10,0.5,1,98.2,2,3,2,3,4,28841,16334,0.0377,0.0
