family,page,strategy,seed,converged,heldout_block_pct,heldout_valid,heldout_residual,added_fp_pct,accepted_rules,rounds,candidates,rejected,defense_calls,total_calls,input_tokens,output_tokens,est_cost_usd,wall_s
SQLi,filter,CG,7,1,100.0,267,0,0.0,1,1,1,0,1,31,26750,19169,0.0414,319.9
SQLi,filter,CG,8,1,100.0,256,0,0.0,1,1,1,0,1,37,31801,22281,0.0484,384.0
SQLi,filter,CG,9,1,100.0,262,0,0.0,1,1,1,0,1,40,34322,23717,0.0517,479.0
SQLi,filter,CG,10,1,100.0,250,0,0.0,1,1,1,0,1,31,26777,18993,0.0411,349.5
XSS,search,PP,1,1,100.0,143,0,0.0,16,1,16,0,16,70,48695,16141,0.0453,598.0
XSS,search,PP,2,1,100.0,177,0,0.0,15,1,18,3,18,75,53799,17443,0.0494,598.4
XSS,search,PP,3,1,100.0,167,0,0.0,8,1,8,0,8,59,34433,14057,0.0363,533.3
XSS,search,PP,4,1,100.0,164,0,0.0,17,1,20,3,20,77,57049,17517,0.0508,606.8
XSS,search,PP,5,1,100.0,162,0,0.0,13,1,17,4,17,71,51225,16851,0.0475,586.0
XSS,search,PP,6,1,100.0,178,0,0.0,10,1,10,0,10,67,40186,15622,0.0411,555.0
XSS,search,PP,7,1,100.0,164,0,0.0,7,1,10,3,10,67,40795,15470,0.0411,552.9
XSS,search,PP,8,1,100.0,133,0,0.0,17,1,17,0,17,71,50274,15780,0.0454,584.3
XSS,search,PP,9,1,100.0,141,0,0.0,13,1,16,3,16,70,49267,16046,0.0454,586.2
XSS,search,PP,10,1,100.0,169,0,0.0,18,1,21,3,21,75,57374,16851,0.0499,610.6
XSS,search,CG,1,1,100.0,162,0,0.0,1,1,2,1,2,56,26452,13725,0.0325,547.7
XSS,search,CG,2,1,100.0,143,0,0.0,2,1,2,0,2,56,26117,13336,0.0318,538.8
XSS,search,CG,3,1,100.0,147,0,0.0,2,1,6,4,4,58,29874,14775,0.0356,622.7
XSS,search,CG,4,1,100.0,165,0,0.0,2,1,7,5,4,58,29856,13701,0.0339,532.9
XSS,search,CG,5,1,100.0,151,0,0.0,1,1,2,1,2,53,24920,12946,0.0307,513.9
XSS,search,CG,6,1,100.0,126,0,0.0,2,2,6,4,3,60,30147,15864,0.0374,638.7
XSS,search,CG,7,1,100.0,211,0,0.0,2,2,7,5,5,53,29903,15210,0.0363,606.3
XSS,search,CG,8,1,100.0,198,0,0.0,2,2,3,1,3,66,35919,17090,0.0417,720.3
XSS,search,CG,9,1,100.0,150,0,0.0,1,1,1,0,1,55,24556,12935,0.0305,541.5
XSS,search,CG,10,1,100.0,158,0,0.0,2,1,3,1,3,57,27955,13533,0.0328,544.5
XSS,calc,PP,1,1,100.0,99,0,0.0,8,1,9,1,9,51,32562,13115,0.034,522.4
XSS,calc,PP,2,1,100.0,102,0,0.0,7,1,7,0,7,52,30374,14488,0.0353,589.9
XSS,calc,PP,3,1,100.0,76,0,0.0,12,1,12,0,12,57,38484,17947,0.0441,598.3
XSS,calc,PP,4,1,100.0,98,0,0.0,7,1,7,0,7,46,27864,13186,0.0322,507.8
XSS,calc,PP,5,1,100.0,111,0,0.0,5,1,5,0,5,50,27154,14297,0.0337,523.8
XSS,calc,PP,6,1,100.0,100,0,0.0,9,1,18,9,18,60,48456,16626,0.046,569.1
XSS,calc,PP,7,1,100.0,100,0,0.0,8,1,8,0,8,53,32003,14246,0.0356,534.5
XSS,calc,PP,8,1,100.0,86,0,0.0,7,1,10,3,10,52,34660,14497,0.0371,518.3
XSS,calc,PP,9,1,100.0,88,0,0.0,3,1,3,0,3,47,23479,13161,0.0304,482.2
XSS,calc,PP,10,1,100.0,111,0,0.0,4,1,4,0,4,49,25651,12898,0.0309,575.2
XSS,calc,CG,1,1,100.0,93,0,0.0,2,2,4,2,2,59,27820,17221,0.0387,680.9
XSS,calc,CG,2,1,100.0,99,0,0.0,3,2,5,2,4,52,28680,11536,0.0299,629.8
XSS,calc,CG,3,1,100.0,130,0,0.0,3,2,3,0,3,54,27020,11435,0.0291,630.7
XSS,calc,CG,4,1,100.0,96,0,0.0,2,1,5,3,3,42,21829,11495,0.0271,593.1
XSS,calc,CG,5,1,100.0,87,0,0.0,2,1,3,1,3,45,23026,13780,0.0313,526.1
XSS,calc,CG,6,1,100.0,83,0,0.0,1,1,1,0,1,46,20736,13415,0.0298,500.9
XSS,calc,CG,7,1,100.0,117,0,0.0,1,1,8,7,3,45,23236,14787,0.033,539.6
XSS,calc,CG,8,1,100.0,226,0,0.0,4,5,11,7,7,82,49086,20603,0.0526,1031.1
XSS,calc,CG,9,1,100.0,162,0,0.0,2,2,7,5,3,48,26504,11346,0.0288,539.5
XSS,calc,CG,10,1,100.0,119,0,0.0,2,2,4,2,3,54,27488,13602,0.0328,623.9
